
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.4125e-02      1  EP      3.7543e-02   3.1416e-02
   30  00:00:00   5.0244e-02      2  HB      2.7726e-02   3.1416e-02
   43  00:00:00   4.4361e-02      3  SN      2.2112e-02   3.1416e-02
   43  00:00:00   4.4365e-02      4  FP      2.2108e-02   3.1416e-02
   78  00:00:00   6.0002e-02      5  SN      3.1035e-02   3.1416e-02
   78  00:00:00   6.0005e-02      6  BP      3.1035e-02   3.1416e-02
   93  00:00:00   7.0950e-02      7  SN      3.7375e-02   3.1416e-02
   93  00:00:00   7.0958e-02      8  BP      3.7379e-02   3.1416e-02
  176  00:00:01   1.4708e-01      9  UZ      7.8540e-02   3.1416e-02
  325  00:00:01   2.9389e-01     10  UZ      1.5708e-01   3.1416e-02
  472  00:00:02   4.4081e-01     11  UZ      2.3562e-01   3.1416e-02
  620  00:00:03   5.8774e-01     12  UZ      3.1416e-01   3.1416e-02
  767  00:00:03   7.3468e-01     13  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   6.4125e-02     14  EP      3.7543e-02   3.1416e-02
    3  00:00:04   6.4594e-02     15  SN      3.7783e-02   3.1416e-02
    3  00:00:04   6.4610e-02     16  FP      3.7785e-02   3.1416e-02
    7  00:00:04   6.4780e-02     17  SN      3.7762e-02   3.1416e-02
    7  00:00:04   6.4822e-02     18  FP      3.7760e-02   3.1416e-02
   15  00:00:04   6.6542e-02     19  SN      3.8306e-02   3.1416e-02
   15  00:00:04   6.6542e-02     20  BP      3.8306e-02   3.1416e-02
  109  00:00:05   1.3307e-01     21  UZ      7.8540e-02   3.1416e-02
  246  00:00:06   2.6526e-01     22  UZ      1.5708e-01   3.1416e-02
  379  00:00:06   3.9819e-01     23  UZ      2.3562e-01   3.1416e-02
  513  00:00:07   5.3111e-01     24  UZ      3.1416e-01   3.1416e-02
  646  00:00:08   6.6401e-01     25  EP      3.9270e-01   3.1416e-02
