
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.4785e-02      1  EP      4.7989e-02   3.1416e-02
    1  00:00:00   7.4785e-02      2  BP      4.7989e-02   3.1416e-02
    1  00:00:00   7.4712e-02      3  FP      4.7931e-02   3.1416e-02
    2  00:00:00   7.4789e-02      4  BP      4.7989e-02   3.1416e-02
    2  00:00:00   7.4789e-02      5  SN      4.7989e-02   3.1416e-02
   18  00:00:00   8.2928e-02      6  SN      5.3505e-02   3.1416e-02
   18  00:00:00   8.2928e-02      7  BP      5.3505e-02   3.1416e-02
   59  00:00:00   1.2014e-01      8  UZ      7.8540e-02   3.1416e-02
  180  00:00:01   2.3818e-01      9  UZ      1.5708e-01   3.1416e-02
  299  00:00:01   3.5668e-01     10  UZ      2.3562e-01   3.1416e-02
  418  00:00:02   4.7531e-01     11  UZ      3.1416e-01   3.1416e-02
  537  00:00:02   5.9398e-01     12  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   7.4785e-02     13  EP      4.7989e-02   3.1416e-02
    1  00:00:03   7.4785e-02     14  BP      4.7989e-02   3.1416e-02
    1  00:00:03   7.4930e-02     15  FP      4.8097e-02   3.1416e-02
    2  00:00:03   7.4930e-02     16  SN      4.8097e-02   3.1416e-02
    2  00:00:03   7.4926e-02     17  FP      4.8089e-02   3.1416e-02
   18  00:00:03   8.2926e-02     18  BP      5.3505e-02   3.1416e-02
   18  00:00:04   8.2926e-02     19  SN      5.3505e-02   3.1416e-02
   59  00:00:04   1.2014e-01     20  UZ      7.8540e-02   3.1416e-02
  179  00:00:05   2.3818e-01     21  UZ      1.5708e-01   3.1416e-02
  298  00:00:05   3.5668e-01     22  UZ      2.3562e-01   3.1416e-02
  417  00:00:06   4.7531e-01     23  UZ      3.1416e-01   3.1416e-02
  536  00:00:07   5.9398e-01     24  EP      3.9270e-01   3.1416e-02
