
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   19  00:00:00   3.6473e-02      4  SN      1.3102e-02   3.1416e-02
   19  00:00:00   3.6473e-02      5  BP      1.3102e-02   3.1416e-02
   25  00:00:00   3.9605e-02      6  SN      1.7053e-02   3.1416e-02
   25  00:00:00   3.9605e-02      7  BP      1.7053e-02   3.1416e-02
   26  00:00:00   4.0473e-02      8  SN      1.8043e-02   3.1416e-02
   26  00:00:00   4.0473e-02      9  BP      1.8043e-02   3.1416e-02
   33  00:00:00   4.5096e-02     10  SN      2.2877e-02   3.1416e-02
   33  00:00:00   4.5096e-02     11  BP      2.2877e-02   3.1416e-02
   34  00:00:00   4.5793e-02     12  SN      2.3559e-02   3.1416e-02
   34  00:00:00   4.5793e-02     13  BP      2.3559e-02   3.1416e-02
   40  00:00:00   5.0157e-02     14  SN      2.7648e-02   3.1416e-02
   40  00:00:00   5.0157e-02     15  BP      2.7648e-02   3.1416e-02
   42  00:00:01   5.1837e-02     16  SN      2.9156e-02   3.1416e-02
   42  00:00:01   5.1837e-02     17  BP      2.9156e-02   3.1416e-02
   47  00:00:01   5.6001e-02     18  SN      3.2781e-02   3.1416e-02
   47  00:00:01   5.6001e-02     19  BP      3.2781e-02   3.1416e-02
   49  00:00:01   5.7484e-02     20  SN      3.4040e-02   3.1416e-02
   49  00:00:01   5.7484e-02     21  BP      3.4040e-02   3.1416e-02
   53  00:00:01   6.1065e-02     22  SN      3.7027e-02   3.1416e-02
   53  00:00:01   6.1065e-02     23  BP      3.7027e-02   3.1416e-02
   56  00:00:01   6.3461e-02     24  SN      3.8989e-02   3.1416e-02
   56  00:00:01   6.3461e-02     25  BP      3.8989e-02   3.1416e-02
   67  00:00:01   7.3210e-02     26  SN      4.6759e-02   3.1416e-02
   67  00:00:01   7.3210e-02     27  BP      4.6759e-02   3.1416e-02
  556  00:00:04   5.5625e-01     28  EP      3.9270e-01   3.1416e-02
