
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.9605e-02      1  EP      1.7053e-02   3.1416e-02
    1  00:00:00   3.9605e-02      2  SN      1.7053e-02   3.1416e-02
    1  00:00:00   3.9546e-02      3  FP      1.6981e-02   3.1416e-02
  126  00:00:00   1.3538e-01      4  UZ      7.8540e-02   3.1416e-02
  260  00:00:01   2.6787e-01      5  UZ      1.5708e-01   3.1416e-02
  394  00:00:01   4.0106e-01      6  UZ      2.3562e-01   3.1416e-02
  528  00:00:02   5.3442e-01      7  UZ      3.1416e-01   3.1416e-02
  661  00:00:03   6.6784e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   3.9605e-02      9  EP      1.7053e-02   3.1416e-02
    1  00:00:04   3.9605e-02     10  BP      1.7053e-02   3.1416e-02
    1  00:00:04   3.9735e-02     11  FP      1.7190e-02   3.1416e-02
    2  00:00:04   3.9735e-02     12  SN      1.7189e-02   3.1416e-02
    2  00:00:04   3.9737e-02     13  FP      1.7180e-02   3.1416e-02
  125  00:00:05   1.3539e-01     14  UZ      7.8540e-02   3.1416e-02
  260  00:00:05   2.6787e-01     15  UZ      1.5708e-01   3.1416e-02
  394  00:00:06   4.0106e-01     16  UZ      2.3562e-01   3.1416e-02
  527  00:00:07   5.3442e-01     17  UZ      3.1416e-01   3.1416e-02
  661  00:00:08   6.6784e-01     18  EP      3.9270e-01   3.1416e-02
