
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5851e-02      1  EP      2.3615e-02   3.1416e-02
    1  00:00:00   4.5851e-02      2  HB      2.3615e-02   3.1416e-02
    1  00:00:00   4.5851e-02      3  BP      2.3615e-02   3.1416e-02
    1  00:00:00   4.5815e-02      4  FP      2.3579e-02   3.1416e-02
   25  00:00:00   5.7440e-02      5  SN      3.0687e-02   3.1416e-02
   25  00:00:00   5.7440e-02      6  BP      3.0687e-02   3.1416e-02
  124  00:00:00   1.4741e-01      7  UZ      7.8540e-02   3.1416e-02
  275  00:00:01   2.9706e-01      8  UZ      1.5708e-01   3.1416e-02
  425  00:00:02   4.4631e-01      9  UZ      2.3562e-01   3.1416e-02
  574  00:00:03   5.9543e-01     10  UZ      3.1416e-01   3.1416e-02
  724  00:00:03   7.4449e-01     11  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   4.5851e-02     12  EP      2.3615e-02   3.1416e-02
    1  00:00:04   4.5851e-02     13  BP      2.3615e-02   3.1416e-02
    1  00:00:04   4.5931e-02     14  FP      2.3682e-02   3.1416e-02
    2  00:00:04   4.5936e-02     15  BP      2.3671e-02   3.1416e-02
    2  00:00:04   4.5936e-02     16  FP      2.3671e-02   3.1416e-02
   25  00:00:04   5.7446e-02     17  SN      3.0690e-02   3.1416e-02
   25  00:00:04   5.7446e-02     18  BP      3.0690e-02   3.1416e-02
  123  00:00:05   1.4741e-01     19  UZ      7.8540e-02   3.1416e-02
  274  00:00:06   2.9706e-01     20  UZ      1.5708e-01   3.1416e-02
  424  00:00:07   4.4631e-01     21  UZ      2.3562e-01   3.1416e-02
  573  00:00:08   5.9543e-01     22  UZ      3.1416e-01   3.1416e-02
  723  00:00:08   7.4449e-01     23  EP      3.9270e-01   3.1416e-02
