
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   26  00:00:00   4.0558e-02      4  SN      1.8138e-02   3.1416e-02
   26  00:00:00   4.0558e-02      5  BP      1.8138e-02   3.1416e-02
   34  00:00:00   4.5851e-02      6  HB      2.3615e-02   3.1416e-02
   34  00:00:00   4.5851e-02      7  UZ      2.3615e-02   3.1416e-02
   45  00:00:00   5.4414e-02      8  HB      3.1416e-02   3.1416e-02
   45  00:00:00   5.4414e-02      9  UZ      3.1416e-02   3.1416e-02
   52  00:00:00   6.0157e-02     10  SN      3.6276e-02   3.1416e-02
   52  00:00:00   6.0157e-02     11  BP      3.6276e-02   3.1416e-02
   58  00:00:00   6.5397e-02     12  SN      4.0558e-02   3.1416e-02
   58  00:00:00   6.5397e-02     13  BP      4.0558e-02   3.1416e-02
   64  00:00:01   7.0914e-02     14  HB      4.4955e-02   3.1416e-02
   64  00:00:01   7.0914e-02     15  UZ      4.4955e-02   3.1416e-02
   73  00:00:01   7.8665e-02     16  HB      5.0996e-02   3.1416e-02
   73  00:00:01   7.8665e-02     17  UZ      5.0996e-02   3.1416e-02
   77  00:00:01   8.3119e-02     18  SN      5.4414e-02   3.1416e-02
   77  00:00:01   8.3119e-02     19  BP      5.4414e-02   3.1416e-02
  112  00:00:01   1.1543e-01     20  UZ      7.8540e-02   3.1416e-02
  223  00:00:02   2.2435e-01     21  UZ      1.5708e-01   3.1416e-02
  334  00:00:02   3.3469e-01     22  UZ      2.3562e-01   3.1416e-02
  445  00:00:03   4.4540e-01     23  UZ      3.1416e-01   3.1416e-02
  556  00:00:04   5.5625e-01     24  EP      3.9270e-01   3.1416e-02
