
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.4785e-02      1  EP      4.7989e-02   3.1416e-02
    1  00:00:00   7.4785e-02      2  SN      4.7989e-02   3.1416e-02
    1  00:00:00   7.4726e-02      3  FP      4.7941e-02   3.1416e-02
   61  00:00:00   1.2129e-01      4  UZ      7.8540e-02   3.1416e-02
  184  00:00:00   2.4151e-01      5  UZ      1.5708e-01   3.1416e-02
  305  00:00:01   3.6197e-01      6  UZ      2.3562e-01   3.1416e-02
  426  00:00:01   4.8250e-01      7  UZ      3.1416e-01   3.1416e-02
  547  00:00:02   6.0305e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   7.4785e-02      9  EP      4.7989e-02   3.1416e-02
    1  00:00:02   7.4785e-02     10  BP      4.7989e-02   3.1416e-02
    1  00:00:02   7.4903e-02     11  FP      4.8075e-02   3.1416e-02
    2  00:00:02   7.4903e-02     12  SN      4.8075e-02   3.1416e-02
    2  00:00:02   7.4899e-02     13  FP      4.8067e-02   3.1416e-02
   61  00:00:02   1.2129e-01     14  UZ      7.8540e-02   3.1416e-02
  183  00:00:03   2.4151e-01     15  UZ      1.5708e-01   3.1416e-02
  304  00:00:03   3.6197e-01     16  UZ      2.3562e-01   3.1416e-02
  425  00:00:04   4.8250e-01     17  UZ      3.1416e-01   3.1416e-02
  546  00:00:05   6.0305e-01     18  EP      3.9270e-01   3.1416e-02
