
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   8.7933e-02      1  EP      5.8074e-02   3.1416e-02
    1  00:00:00   8.7933e-02      2  SN      5.8074e-02   3.1416e-02
    1  00:00:00   8.7808e-02      3  FP      5.7979e-02   3.1416e-02
   42  00:00:00   1.1737e-01      4  UZ      7.8540e-02   3.1416e-02
  160  00:00:00   2.3228e-01      5  UZ      1.5708e-01   3.1416e-02
  276  00:00:01   3.4782e-01      6  UZ      2.3562e-01   3.1416e-02
  392  00:00:01   4.6350e-01      7  UZ      3.1416e-01   3.1416e-02
  856  00:00:04   9.2650e-01      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   8.7933e-02      9  EP      5.8074e-02   3.1416e-02
    1  00:00:04   8.7933e-02     10  BP      5.8074e-02   3.1416e-02
    1  00:00:04   8.8058e-02     11  FP      5.8168e-02   3.1416e-02
    2  00:00:04   8.8034e-02     12  SN      5.8149e-02   3.1416e-02
    2  00:00:04   8.7990e-02     13  FP      5.8114e-02   3.1416e-02
   42  00:00:04   1.1737e-01     14  UZ      7.8540e-02   3.1416e-02
  160  00:00:05   2.3228e-01     15  UZ      1.5708e-01   3.1416e-02
  276  00:00:05   3.4782e-01     16  UZ      2.3562e-01   3.1416e-02
  392  00:00:06   4.6350e-01     17  UZ      3.1416e-01   3.1416e-02
  856  00:00:08   9.2650e-01     18  EP      6.2832e-01   3.1416e-02
