
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:01   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   26  00:00:02   4.0610e-02      4  SN      1.8197e-02   3.1416e-02
   26  00:00:02   4.0610e-02      5  BP      1.8197e-02   3.1416e-02
   40  00:00:03   5.0322e-02      6  SN      2.7797e-02   3.1416e-02
   40  00:00:03   5.0322e-02      7  BP      2.7797e-02   3.1416e-02
   52  00:00:03   6.0300e-02      8  SN      3.6394e-02   3.1416e-02
   52  00:00:03   6.0300e-02      9  BP      3.6394e-02   3.1416e-02
   69  00:00:04   7.4983e-02     10  SN      4.8143e-02   3.1416e-02
   69  00:00:04   7.4983e-02     11  BP      4.8143e-02   3.1416e-02
   78  00:00:04   8.3355e-02     12  SN      5.4595e-02   3.1416e-02
   78  00:00:04   8.3355e-02     13  BP      5.4595e-02   3.1416e-02
  112  00:00:05   1.1543e-01     14  UZ      7.8540e-02   3.1416e-02
  223  00:00:06   2.2435e-01     15  UZ      1.5708e-01   3.1416e-02
  334  00:00:08   3.3469e-01     16  UZ      2.3562e-01   3.1416e-02
  571  00:00:12   5.7120e-01     17  UZ      4.0329e-01   3.1416e-02
  889  00:00:16   8.8913e-01     18  EP      6.2832e-01   3.1416e-02
