
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   8.0841e-02      1  EP      4.9800e-02   3.1416e-02
    1  00:00:00   8.0841e-02      2  SN      4.9800e-02   3.1416e-02
    1  00:00:00   8.0775e-02      3  FP      4.9757e-02   3.1416e-02
    3  00:00:00   8.0842e-02      4  SN      4.9795e-02   3.1416e-02
    3  00:00:00   8.0847e-02      5  FP      4.9796e-02   3.1416e-02
   16  00:00:00   8.1681e-02      6  SN      4.9915e-02   3.1416e-02
   16  00:00:00   8.1049e-02      7  FP      4.9447e-02   3.1416e-02
   90  00:00:00   1.3580e-01      8  UZ      7.8540e-02   3.1416e-02
  230  00:00:01   2.7281e-01      9  UZ      1.5708e-01   3.1416e-02
  367  00:00:01   4.0872e-01     10  UZ      2.3562e-01   3.1416e-02
  503  00:00:02   5.4466e-01     11  UZ      3.1416e-01   3.1416e-02
  639  00:00:02   6.8061e-01     12  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   8.0841e-02     13  EP      4.9800e-02   3.1416e-02
    1  00:00:03   8.0841e-02     14  BP      4.9800e-02   3.1416e-02
    1  00:00:03   8.0881e-02     15  FP      4.9823e-02   3.1416e-02
   16  00:00:03   8.1293e-02     16  SN      4.9634e-02   3.1416e-02
   16  00:00:03   8.0901e-02     17  FP      4.9361e-02   3.1416e-02
   92  00:00:03   1.3712e-01     18  UZ      7.8540e-02   3.1416e-02
  235  00:00:04   2.7711e-01     19  UZ      1.5708e-01   3.1416e-02
  375  00:00:04   4.1580e-01     20  UZ      2.3562e-01   3.1416e-02
  514  00:00:05   5.5434e-01     21  UZ      3.1416e-01   3.1416e-02
  653  00:00:06   6.9285e-01     22  EP      3.9270e-01   3.1416e-02
