
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   8.3119e-02      1  EP      5.4414e-02   3.1416e-02
    1  00:00:00   8.3119e-02      2  SN      5.4414e-02   3.1416e-02
    1  00:00:00   8.2964e-02      3  FP      5.4295e-02   3.1416e-02
   14  00:00:00   8.8954e-02      4  SN      5.8614e-02   3.1416e-02
   14  00:00:00   8.8954e-02      5  BP      5.8614e-02   3.1416e-02
   45  00:00:00   1.1696e-01      6  UZ      7.8540e-02   3.1416e-02
  160  00:00:00   2.2967e-01      7  UZ      1.5708e-01   3.1416e-02
  274  00:00:01   3.4331e-01      8  UZ      2.3562e-01   3.1416e-02
  389  00:00:01   4.5718e-01      9  UZ      3.1416e-01   3.1416e-02
  503  00:00:02   5.7116e-01     10  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   8.3119e-02     11  EP      5.4414e-02   3.1416e-02
    1  00:00:02   8.3119e-02     12  BP      5.4414e-02   3.1416e-02
    1  00:00:02   8.3275e-02     13  FP      5.4532e-02   3.1416e-02
    2  00:00:02   8.3245e-02     14  SN      5.4508e-02   3.1416e-02
    2  00:00:02   8.3188e-02     15  FP      5.4463e-02   3.1416e-02
   14  00:00:02   8.8951e-02     16  SN      5.8612e-02   3.1416e-02
   14  00:00:02   8.8951e-02     17  BP      5.8612e-02   3.1416e-02
   45  00:00:02   1.1696e-01     18  UZ      7.8540e-02   3.1416e-02
  160  00:00:03   2.2967e-01     19  UZ      1.5708e-01   3.1416e-02
  274  00:00:03   3.4331e-01     20  UZ      2.3562e-01   3.1416e-02
  389  00:00:04   4.5718e-01     21  UZ      3.1416e-01   3.1416e-02
  503  00:00:04   5.7116e-01     22  EP      3.9270e-01   3.1416e-02
