
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.4785e-02      1  EP      4.7989e-02   3.1416e-02
    1  00:00:00   7.4785e-02      2  SN      4.7989e-02   3.1416e-02
    1  00:00:00   7.4726e-02      3  FP      4.7941e-02   3.1416e-02
   61  00:00:00   1.2129e-01      4  UZ      7.8540e-02   3.1416e-02
  184  00:00:00   2.4151e-01      5  UZ      1.5708e-01   3.1416e-02
  305  00:00:01   3.6197e-01      6  UZ      2.3562e-01   3.1416e-02
  426  00:00:02   4.8250e-01      7  UZ      3.1416e-01   3.1416e-02
  909  00:00:04   9.6474e-01      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   7.4785e-02      9  EP      4.7989e-02   3.1416e-02
    1  00:00:04   7.4785e-02     10  BP      4.7989e-02   3.1416e-02
    1  00:00:04   7.4903e-02     11  FP      4.8075e-02   3.1416e-02
    2  00:00:04   7.4903e-02     12  SN      4.8075e-02   3.1416e-02
    2  00:00:04   7.4899e-02     13  FP      4.8067e-02   3.1416e-02
   61  00:00:05   1.2129e-01     14  UZ      7.8540e-02   3.1416e-02
  183  00:00:05   2.4151e-01     15  UZ      1.5708e-01   3.1416e-02
  304  00:00:06   3.6197e-01     16  UZ      2.3562e-01   3.1416e-02
  425  00:00:06   4.8250e-01     17  UZ      3.1416e-01   3.1416e-02
  908  00:00:09   9.6474e-01     18  EP      6.2832e-01   3.1416e-02
