
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.0638e-02      1  EP      3.8653e-02   3.1416e-02
    2  00:00:00   7.0566e-02      2  SN      3.8608e-02   3.1416e-02
    2  00:00:00   7.0539e-02      3  FP      3.8594e-02   3.1416e-02
   90  00:00:00   1.4258e-01      4  UZ      7.8540e-02   3.1416e-02
  233  00:00:01   2.8375e-01      5  UZ      1.5708e-01   3.1416e-02
  375  00:00:01   4.2516e-01      6  UZ      2.3562e-01   3.1416e-02
  517  00:00:02   5.6665e-01      7  UZ      3.1416e-01   3.1416e-02
  658  00:00:02   7.0818e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   7.0638e-02      9  EP      3.8653e-02   3.1416e-02
    1  00:00:03   7.0638e-02     10  BP      3.8653e-02   3.1416e-02
    1  00:00:03   7.0638e-02     11  SN      3.8653e-02   3.1416e-02
   89  00:00:03   1.4258e-01     12  UZ      7.8540e-02   3.1416e-02
  233  00:00:04   2.8375e-01     13  UZ      1.5708e-01   3.1416e-02
  375  00:00:05   4.2516e-01     14  UZ      2.3562e-01   3.1416e-02
  516  00:00:05   5.6665e-01     15  UZ      3.1416e-01   3.1416e-02
  658  00:00:06   7.0818e-01     16  EP      3.9270e-01   3.1416e-02
