
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.0558e-02      1  EP      1.8138e-02   3.1416e-02
    1  00:00:00   4.0558e-02      2  SN      1.8138e-02   3.1416e-02
    1  00:00:00   4.0520e-02      3  FP      1.8093e-02   3.1416e-02
  119  00:00:00   1.3845e-01      4  UZ      7.8540e-02   3.1416e-02
  255  00:00:01   2.7328e-01      5  UZ      1.5708e-01   3.1416e-02
  391  00:00:01   4.0891e-01      6  UZ      2.3562e-01   3.1416e-02
  528  00:00:02   5.4475e-01      7  UZ      3.1416e-01   3.1416e-02
  664  00:00:02   6.8066e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   4.0558e-02      9  EP      1.8138e-02   3.1416e-02
    1  00:00:02   4.0558e-02     10  BP      1.8138e-02   3.1416e-02
    1  00:00:02   4.0643e-02     11  FP      1.8220e-02   3.1416e-02
    2  00:00:03   4.0644e-02     12  SN      1.8220e-02   3.1416e-02
    2  00:00:03   4.0650e-02     13  FP      1.8211e-02   3.1416e-02
  118  00:00:03   1.3845e-01     14  UZ      7.8540e-02   3.1416e-02
  255  00:00:04   2.7328e-01     15  UZ      1.5708e-01   3.1416e-02
  391  00:00:04   4.0891e-01     16  UZ      2.3562e-01   3.1416e-02
  527  00:00:05   5.4475e-01     17  UZ      3.1416e-01   3.1416e-02
  663  00:00:05   6.8066e-01     18  EP      3.9270e-01   3.1416e-02
