
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   26  00:00:00   4.0558e-02      4  SN      1.8138e-02   3.1416e-02
   26  00:00:00   4.0558e-02      5  BP      1.8138e-02   3.1416e-02
   52  00:00:00   6.0157e-02      6  SN      3.6276e-02   3.1416e-02
   52  00:00:00   6.0157e-02      7  BP      3.6276e-02   3.1416e-02
   77  00:00:00   8.3119e-02      8  SN      5.4414e-02   3.1416e-02
   77  00:00:00   8.3119e-02      9  BP      5.4414e-02   3.1416e-02
  112  00:00:01   1.1543e-01     10  UZ      7.8540e-02   3.1416e-02
  223  00:00:01   2.2435e-01     11  UZ      1.5708e-01   3.1416e-02
  334  00:00:01   3.3469e-01     12  UZ      2.3562e-01   3.1416e-02
  445  00:00:02   4.4540e-01     13  UZ      3.1416e-01   3.1416e-02
  889  00:00:04   8.8913e-01     14  EP      6.2832e-01   3.1416e-02
