
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.0881e-02      1  EP      1.8498e-02   3.1416e-02
    1  00:00:00   4.0881e-02      2  SN      1.8498e-02   3.1416e-02
    1  00:00:00   4.0845e-02      3  FP      1.8449e-02   3.1416e-02
  139  00:00:01   1.5658e-01      4  UZ      7.8540e-02   3.1416e-02
  295  00:00:03   3.1152e-01      5  UZ      1.5708e-01   3.1416e-02
  451  00:00:04   4.6683e-01      6  UZ      2.3562e-01   3.1416e-02
 1094  00:00:11   1.1096e+00      7  UZ      5.6037e-01   3.1416e-02
 1229  00:00:13   1.2441e+00      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:13   4.0881e-02      9  EP      1.8498e-02   3.1416e-02
    1  00:00:13   4.0881e-02     10  BP      1.8498e-02   3.1416e-02
    1  00:00:14   4.0932e-02     11  FP      1.8540e-02   3.1416e-02
    2  00:00:14   4.0932e-02     12  SN      1.8540e-02   3.1416e-02
    2  00:00:14   4.0945e-02     13  FP      1.8531e-02   3.1416e-02
  138  00:00:16   1.5658e-01     14  UZ      7.8540e-02   3.1416e-02
  295  00:00:18   3.1152e-01     15  UZ      1.5708e-01   3.1416e-02
  451  00:00:20   4.6683e-01     16  UZ      2.3562e-01   3.1416e-02
 1094  00:00:28   1.1096e+00     17  UZ      5.6037e-01   3.1416e-02
 1228  00:00:30   1.2441e+00     18  EP      6.2832e-01   3.1416e-02
