
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   27  00:00:00   4.1274e-02      4  SN      1.8928e-02   3.1416e-02
   27  00:00:00   4.1274e-02      5  BP      1.8928e-02   3.1416e-02
   41  00:00:00   5.1501e-02      6  SN      2.8857e-02   3.1416e-02
   41  00:00:00   5.1501e-02      7  BP      2.8857e-02   3.1416e-02
   42  00:00:00   5.1728e-02      8  SN      2.9059e-02   3.1416e-02
   42  00:00:00   5.1728e-02      9  BP      2.9059e-02   3.1416e-02
   54  00:00:00   6.2207e-02     10  SN      3.7965e-02   3.1416e-02
   54  00:00:00   6.2207e-02     11  BP      3.7965e-02   3.1416e-02
   60  00:00:01   6.7580e-02     12  SN      4.2309e-02   3.1416e-02
   60  00:00:01   6.7580e-02     13  BP      4.2309e-02   3.1416e-02
   71  00:00:01   7.7439e-02     14  SN      5.0050e-02   3.1416e-02
   71  00:00:01   7.7439e-02     15  BP      5.0050e-02   3.1416e-02
   72  00:00:01   7.7783e-02     16  SN      5.0315e-02   3.1416e-02
   72  00:00:01   7.7783e-02     17  BP      5.0315e-02   3.1416e-02
   82  00:00:01   8.7047e-02     18  SN      5.7403e-02   3.1416e-02
   82  00:00:01   8.7047e-02     19  BP      5.7403e-02   3.1416e-02
  112  00:00:01   1.1543e-01     20  UZ      7.8540e-02   3.1416e-02
  223  00:00:02   2.2435e-01     21  UZ      1.5708e-01   3.1416e-02
  334  00:00:03   3.3469e-01     22  UZ      2.3562e-01   3.1416e-02
  685  00:00:04   6.8492e-01     23  UZ      4.8381e-01   3.1416e-02
 1111  00:00:06   1.1112e+00     24  UZ      7.8540e-01   3.1416e-02
 1333  00:00:07   1.3332e+00     25  EP      9.4248e-01   3.1416e-02
