
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.84e-03  5.86e-01    0.0    0.0    0.0
   1   1  1.00e+00  2.47e-02  2.45e-04  5.78e-01    0.0    0.0    0.0
   2   1  1.00e+00  7.51e-03  9.03e-06  5.76e-01    0.0    0.0    0.0
   3   4  1.25e-01  2.12e-02  8.60e-06  5.76e-01    0.0    0.0    0.0
   4   4  1.25e-01  1.93e-02  8.10e-06  5.76e-01    0.0    0.0    0.0
   5   3  2.50e-01  1.77e-02  8.09e-06  5.75e-01    0.0    0.0    0.0
   6   3  2.50e-01  1.43e-02  7.38e-06  5.74e-01    0.0    0.0    0.0
   7   3  2.50e-01  1.19e-02  6.45e-06  5.74e-01    0.0    0.0    0.0
   8   2  5.00e-01  1.01e-02  5.83e-06  5.73e-01    0.0    0.0    0.0
   9   1  1.00e+00  6.41e-03  4.19e-06  5.72e-01    0.0    0.0    0.0
  10   1  1.00e+00  1.63e-03  2.60e-07  5.71e-01    0.0    0.0    0.0
  11   1  1.00e+00  3.62e-04  1.30e-08  5.71e-01    0.0    0.0    0.0
  12   1  1.00e+00  5.56e-06  3.04e-12  5.71e-01    0.0    0.0    0.0
  13   1  1.00e+00  4.21e-09  2.92e-18  5.71e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.7113e-01      1  EP      3.1416e-01   3.1416e-02
  144  00:00:01   4.2831e-01      2  UZ      2.3562e-01   3.1416e-02
  287  00:00:01   2.8548e-01      3  UZ      1.5708e-01   3.1416e-02
  432  00:00:02   1.4265e-01      4  UZ      7.8540e-02   3.1416e-02
  483  00:00:03   9.8711e-02      5  SN      5.4144e-02   3.1416e-02
  483  00:00:03   9.8708e-02      6  FP      5.4134e-02   3.1416e-02
  536  00:00:04   1.4237e-01      7  UZ      7.8540e-02   3.1416e-02
  678  00:00:04   2.8249e-01      8  UZ      1.5708e-01   3.1416e-02
  819  00:00:05   4.2313e-01      9  UZ      2.3562e-01   3.1416e-02
 1265  00:00:07   8.6841e-01     10  UZ      4.8381e-01   3.1416e-02
 1806  00:00:10   1.4095e+00     11  UZ      7.8540e-01   3.1416e-02
 2088  00:00:12   1.6913e+00     12  EP      9.4248e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:12   5.7113e-01     13  EP      3.1416e-01   3.1416e-02
  309  00:00:14   8.7960e-01     14  UZ      4.8381e-01   3.1416e-02
  858  00:00:17   1.4280e+00     15  UZ      7.8540e-01   3.1416e-02
 1144  00:00:18   1.7136e+00     16  EP      9.4248e-01   3.1416e-02
