
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.0558e-02      1  EP      1.8138e-02   3.1416e-02
    1  00:00:00   4.0558e-02      2  SN      1.8138e-02   3.1416e-02
    1  00:00:00   4.0558e-02      3  BP      1.8138e-02   3.1416e-02
   41  00:00:00   3.4452e-02      4  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.0558e-02      5  EP      1.8138e-02   3.1416e-02
   14  00:00:00   5.0222e-02      6  HB      2.7706e-02   3.1416e-02
   26  00:00:00   6.0157e-02      7  BP      3.6276e-02   3.1416e-02
   26  00:00:00   6.0157e-02      8  SN      3.6276e-02   3.1416e-02
   32  00:00:00   6.5397e-02      9  SN      4.0558e-02   3.1416e-02
   32  00:00:00   6.5397e-02     10  BP      4.0558e-02   3.1416e-02
   43  00:00:00   7.4785e-02     11  HB      4.7989e-02   3.1416e-02
   52  00:00:00   8.3119e-02     12  SN      5.4414e-02   3.1416e-02
   52  00:00:00   8.3119e-02     13  BP      5.4414e-02   3.1416e-02
   86  00:00:01   1.1543e-01     14  UZ      7.8540e-02   3.1416e-02
  197  00:00:01   2.2435e-01     15  UZ      1.5708e-01   3.1416e-02
  308  00:00:01   3.3469e-01     16  UZ      2.3562e-01   3.1416e-02
  419  00:00:02   4.4540e-01     17  UZ      3.1416e-01   3.1416e-02
  531  00:00:03   5.5625e-01     18  EP      3.9270e-01   3.1416e-02
