
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.5397e-02      1  EP      4.0558e-02   3.1416e-02
    1  00:00:00   6.5397e-02      2  SN      4.0558e-02   3.1416e-02
    1  00:00:00   6.5357e-02      3  FP      4.0521e-02   3.1416e-02
   94  00:00:00   1.3644e-01      4  UZ      7.8540e-02   3.1416e-02
  237  00:00:01   2.7787e-01      5  UZ      1.5708e-01   3.1416e-02
  378  00:00:01   4.1819e-01      6  UZ      2.3562e-01   3.1416e-02
  519  00:00:02   5.5822e-01      7  UZ      3.1416e-01   3.1416e-02
  659  00:00:02   6.9815e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   6.5397e-02      9  EP      4.0558e-02   3.1416e-02
    1  00:00:03   6.5397e-02     10  BP      4.0558e-02   3.1416e-02
    1  00:00:03   6.5444e-02     11  FP      4.0589e-02   3.1416e-02
    2  00:00:03   6.5444e-02     12  SN      4.0589e-02   3.1416e-02
    2  00:00:03   6.5449e-02     13  FP      4.0582e-02   3.1416e-02
   93  00:00:03   1.3644e-01     14  UZ      7.8540e-02   3.1416e-02
  237  00:00:04   2.7787e-01     15  UZ      1.5708e-01   3.1416e-02
  378  00:00:05   4.1819e-01     16  UZ      2.3562e-01   3.1416e-02
  518  00:00:06   5.5822e-01     17  UZ      3.1416e-01   3.1416e-02
  658  00:00:06   6.9815e-01     18  EP      3.9270e-01   3.1416e-02
