
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.0653e-02      1  EP      2.8029e-02   3.1416e-02
    1  00:00:00   5.0653e-02      2  SN      2.8029e-02   3.1416e-02
    1  00:00:00   5.0653e-02      3  BP      2.8029e-02   3.1416e-02
    1  00:00:00   5.0609e-02      4  FP      2.7993e-02   3.1416e-02
   38  00:00:00   7.1083e-02      5  SN      3.8674e-02   3.1416e-02
   38  00:00:00   7.1083e-02      6  BP      3.8674e-02   3.1416e-02
  118  00:00:00   1.4605e-01      7  UZ      7.8540e-02   3.1416e-02
  267  00:00:01   2.9290e-01      8  UZ      1.5708e-01   3.1416e-02
  414  00:00:02   4.3958e-01      9  UZ      2.3562e-01   3.1416e-02
  561  00:00:02   5.8623e-01     10  UZ      3.1416e-01   3.1416e-02
  708  00:00:03   7.3285e-01     11  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   5.0653e-02     12  EP      2.8029e-02   3.1416e-02
    1  00:00:03   5.0701e-02     13  FP      2.8066e-02   3.1416e-02
    2  00:00:03   5.0638e-02     14  FP      2.8012e-02   3.1416e-02
   38  00:00:04   7.1109e-02     15  SN      3.8676e-02   3.1416e-02
   38  00:00:04   7.1109e-02     16  BP      3.8676e-02   3.1416e-02
  118  00:00:04   1.4607e-01     17  UZ      7.8540e-02   3.1416e-02
  267  00:00:05   2.9291e-01     18  UZ      1.5708e-01   3.1416e-02
  414  00:00:06   4.3959e-01     19  UZ      2.3562e-01   3.1416e-02
  561  00:00:07   5.8624e-01     20  UZ      3.1416e-01   3.1416e-02
  708  00:00:08   7.3286e-01     21  EP      3.9270e-01   3.1416e-02
