
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   27  00:00:00   4.1027e-02      4  SN      1.8658e-02   3.1416e-02
   27  00:00:00   4.1027e-02      5  BP      1.8658e-02   3.1416e-02
   40  00:00:00   5.0671e-02      6  SN      2.8112e-02   3.1416e-02
   40  00:00:00   5.0671e-02      7  BP      2.8112e-02   3.1416e-02
   41  00:00:00   5.1601e-02      8  SN      2.8946e-02   3.1416e-02
   41  00:00:00   5.1601e-02      9  BP      2.8946e-02   3.1416e-02
   53  00:00:00   6.1454e-02     10  SN      3.7347e-02   3.1416e-02
   53  00:00:00   6.1454e-02     11  BP      3.7347e-02   3.1416e-02
   69  00:00:00   7.5596e-02     12  SN      4.8620e-02   3.1416e-02
   69  00:00:00   7.5596e-02     13  BP      4.8620e-02   3.1416e-02
   71  00:00:01   7.7548e-02     14  SN      5.0134e-02   3.1416e-02
   71  00:00:01   7.7548e-02     15  BP      5.0134e-02   3.1416e-02
   80  00:00:01   8.5365e-02     16  SN      5.6126e-02   3.1416e-02
   80  00:00:01   8.5365e-02     17  BP      5.6126e-02   3.1416e-02
  112  00:00:01   1.1543e-01     18  UZ      7.8540e-02   3.1416e-02
  223  00:00:02   2.2435e-01     19  UZ      1.5708e-01   3.1416e-02
  334  00:00:02   3.3469e-01     20  UZ      2.3562e-01   3.1416e-02
  730  00:00:04   7.3002e-01     21  UZ      5.1572e-01   3.1416e-02
  889  00:00:05   8.8913e-01     22  EP      6.2832e-01   3.1416e-02
