
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   8.4099e-02      1  EP      5.0682e-02   3.1416e-02
    1  00:00:00   8.3993e-02      2  BP      5.0619e-02   3.1416e-02
    2  00:00:00   8.3668e-02      3  SN      5.0422e-02   3.1416e-02
    2  00:00:00   8.3612e-02      4  BP      5.0388e-02   3.1416e-02
   25  00:00:00   6.9966e-02      5  SN      4.2482e-02   3.1416e-02
   25  00:00:00   6.9763e-02      6  FP      4.2329e-02   3.1416e-02
   89  00:00:00   1.1742e-01      7  UZ      7.8540e-02   3.1416e-02
  204  00:00:02   2.2974e-01      8  UZ      1.5708e-01   3.1416e-02
  318  00:00:02   3.4333e-01      9  UZ      2.3562e-01   3.1416e-02
  433  00:00:03   4.5719e-01     10  UZ      3.1416e-01   3.1416e-02
  547  00:00:03   5.7116e-01     11  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   8.4099e-02     12  EP      5.0682e-02   3.1416e-02
    1  00:00:03   8.4501e-02     13  FP      5.0925e-02   3.1416e-02
    2  00:00:03   8.4501e-02     14  SN      5.0924e-02   3.1416e-02
    2  00:00:03   8.4470e-02     15  FP      5.0904e-02   3.1416e-02
   56  00:00:04   1.3126e-01     16  UZ      7.8540e-02   3.1416e-02
  191  00:00:04   2.6390e-01     17  UZ      1.5708e-01   3.1416e-02
  324  00:00:05   3.9631e-01     18  UZ      2.3562e-01   3.1416e-02
  457  00:00:06   5.2863e-01     19  UZ      3.1416e-01   3.1416e-02
  589  00:00:07   6.6090e-01     20  EP      3.9270e-01   3.1416e-02
