
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.1786e-02      1  EP      2.8812e-02   3.1416e-02
    1  00:00:00   5.1698e-02      2  FP      2.8744e-02   3.1416e-02
  107  00:00:00   1.2563e-01      3  UZ      7.8540e-02   3.1416e-02
  233  00:00:01   2.4905e-01      4  UZ      1.5708e-01   3.1416e-02
  357  00:00:01   3.7300e-01      5  UZ      2.3562e-01   3.1416e-02
  482  00:00:02   4.9706e-01      6  UZ      3.1416e-01   3.1416e-02
  606  00:00:02   6.2118e-01      7  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   5.1786e-02      8  EP      2.8812e-02   3.1416e-02
    1  00:00:04   5.1786e-02      9  BP      2.8812e-02   3.1416e-02
    1  00:00:04   5.1879e-02     10  FP      2.8880e-02   3.1416e-02
    2  00:00:04   5.1819e-02     11  SN      2.8834e-02   3.1416e-02
    2  00:00:04   5.1780e-02     12  FP      2.8802e-02   3.1416e-02
  108  00:00:04   1.2563e-01     13  UZ      7.8540e-02   3.1416e-02
  234  00:00:05   2.4905e-01     14  UZ      1.5708e-01   3.1416e-02
  359  00:00:05   3.7300e-01     15  UZ      2.3562e-01   3.1416e-02
  483  00:00:06   4.9706e-01     16  UZ      3.1416e-01   3.1416e-02
  607  00:00:07   6.2118e-01     17  EP      3.9270e-01   3.1416e-02
