
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.4785e-02      1  EP      4.7989e-02   3.1416e-02
    1  00:00:00   7.4785e-02      2  BP      4.7989e-02   3.1416e-02
    1  00:00:00   7.4717e-02      3  FP      4.7935e-02   3.1416e-02
   61  00:00:00   1.2106e-01      4  UZ      7.8540e-02   3.1416e-02
  184  00:00:00   2.4079e-01      5  UZ      1.5708e-01   3.1416e-02
  304  00:00:01   3.6079e-01      6  UZ      2.3562e-01   3.1416e-02
  425  00:00:01   4.8087e-01      7  UZ      3.1416e-01   3.1416e-02
  545  00:00:02   6.0099e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   7.4785e-02      9  EP      4.7989e-02   3.1416e-02
    1  00:00:02   7.4785e-02     10  BP      4.7989e-02   3.1416e-02
    1  00:00:02   7.4920e-02     11  FP      4.8089e-02   3.1416e-02
    2  00:00:02   7.4920e-02     12  SN      4.8089e-02   3.1416e-02
    2  00:00:02   7.4916e-02     13  FP      4.8081e-02   3.1416e-02
    4  00:00:02   7.5016e-02     14  BP      4.8145e-02   3.1416e-02
    4  00:00:02   7.5016e-02     15  SN      4.8145e-02   3.1416e-02
   61  00:00:03   1.2106e-01     16  UZ      7.8540e-02   3.1416e-02
  183  00:00:03   2.4079e-01     17  UZ      1.5708e-01   3.1416e-02
  304  00:00:04   3.6079e-01     18  UZ      2.3562e-01   3.1416e-02
  424  00:00:04   4.8087e-01     19  UZ      3.1416e-01   3.1416e-02
  545  00:00:05   6.0099e-01     20  EP      3.9270e-01   3.1416e-02
