
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.8768e-02      1  EP      2.6375e-02   3.1416e-02
    1  00:00:00   4.8768e-02      2  SN      2.6375e-02   3.1416e-02
    1  00:00:00   4.8757e-02      3  FP      2.6364e-02   3.1416e-02
  241  00:00:02   1.4761e-01      4  UZ      7.8540e-02   3.1416e-02
  541  00:00:05   2.9597e-01      5  UZ      1.5708e-01   3.1416e-02
  839  00:00:08   4.4418e-01      6  UZ      2.3562e-01   3.1416e-02
 1998  00:00:20   1.0234e+00      7  UZ      5.4271e-01   3.1416e-02
 2321  00:00:24   1.1849e+00      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:24   4.8768e-02      9  EP      2.6375e-02   3.1416e-02
    1  00:00:25   4.8768e-02     10  BP      2.6375e-02   3.1416e-02
    1  00:00:25   4.8780e-02     11  FP      2.6385e-02   3.1416e-02
    2  00:00:26   4.8780e-02     12  SN      2.6385e-02   3.1416e-02
    2  00:00:27   4.8783e-02     13  FP      2.6383e-02   3.1416e-02
  241  00:00:30   1.4761e-01     14  UZ      7.8540e-02   3.1416e-02
  541  00:00:34   2.9597e-01     15  UZ      1.5708e-01   3.1416e-02
  839  00:00:38   4.4418e-01     16  UZ      2.3562e-01   3.1416e-02
 1998  00:00:52   1.0234e+00     17  UZ      5.4271e-01   3.1416e-02
 2321  00:00:58   1.1849e+00     18  EP      6.2832e-01   3.1416e-02
