
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   29  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   75  00:00:01   4.8768e-02      4  SN      2.6375e-02   3.1416e-02
   75  00:00:01   4.8768e-02      5  BP      2.6375e-02   3.1416e-02
   88  00:00:01   5.4042e-02      6  SN      3.1093e-02   3.1416e-02
   88  00:00:01   5.4042e-02      7  BP      3.1093e-02   3.1416e-02
  128  00:00:02   7.1168e-02      8  SN      4.5155e-02   3.1416e-02
  128  00:00:02   7.1168e-02      9  BP      4.5155e-02   3.1416e-02
  140  00:00:02   7.6582e-02     10  SN      4.9385e-02   3.1416e-02
  140  00:00:02   7.6582e-02     11  BP      4.9385e-02   3.1416e-02
  176  00:00:03   9.3055e-02     12  SN      6.1936e-02   3.1416e-02
  176  00:00:03   9.3055e-02     13  BP      6.1936e-02   3.1416e-02
  223  00:00:03   1.1543e-01     14  UZ      7.8540e-02   3.1416e-02
  236  00:00:04   1.2194e-01     15  SN      8.3313e-02   3.1416e-02
  236  00:00:04   1.2194e-01     16  BP      8.3313e-02   3.1416e-02
  445  00:00:06   2.2435e-01     17  UZ      1.5708e-01   3.1416e-02
  667  00:00:08   3.3469e-01     18  UZ      2.3562e-01   3.1416e-02
 1536  00:00:17   7.6815e-01     19  UZ      5.4271e-01   3.1416e-02
 1778  00:00:20   8.8913e-01     20  EP      6.2832e-01   3.1416e-02
