
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.6008e-02      1  EP      2.3767e-02   3.1416e-02
    1  00:00:00   4.6008e-02      2  SN      2.3767e-02   3.1416e-02
    1  00:00:00   4.6000e-02      3  FP      2.3758e-02   3.1416e-02
  269  00:00:01   1.5709e-01      4  UZ      7.8540e-02   3.1416e-02
  584  00:00:02   3.1310e-01      5  UZ      1.5708e-01   3.1416e-02
  898  00:00:03   4.6920e-01      6  UZ      2.3562e-01   3.1416e-02
 1210  00:00:05   6.2537e-01      7  UZ      3.1416e-01   3.1416e-02
 1523  00:00:06   7.8157e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   4.6008e-02      9  EP      2.3767e-02   3.1416e-02
    1  00:00:07   4.6008e-02     10  BP      2.3767e-02   3.1416e-02
    1  00:00:07   4.6019e-02     11  FP      2.3776e-02   3.1416e-02
    2  00:00:07   4.6019e-02     12  SN      2.3776e-02   3.1416e-02
    2  00:00:07   4.6022e-02     13  FP      2.3774e-02   3.1416e-02
  269  00:00:08   1.5709e-01     14  UZ      7.8540e-02   3.1416e-02
  584  00:00:09   3.1310e-01     15  UZ      1.5708e-01   3.1416e-02
  898  00:00:11   4.6920e-01     16  UZ      2.3562e-01   3.1416e-02
 1210  00:00:13   6.2537e-01     17  UZ      3.1416e-01   3.1416e-02
 1523  00:00:14   7.8157e-01     18  EP      3.9270e-01   3.1416e-02
