
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   29  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   61  00:00:00   4.3726e-02      4  SN      2.1506e-02   3.1416e-02
   61  00:00:00   4.3726e-02      5  BP      2.1506e-02   3.1416e-02
   64  00:00:00   4.4616e-02      6  SN      2.2402e-02   3.1416e-02
   64  00:00:00   4.4616e-02      7  BP      2.2402e-02   3.1416e-02
   96  00:00:00   5.7161e-02      8  SN      3.3767e-02   3.1416e-02
   96  00:00:00   5.7161e-02      9  BP      3.3767e-02   3.1416e-02
  107  00:00:01   6.1868e-02     10  SN      3.7687e-02   3.1416e-02
  107  00:00:01   6.1868e-02     11  BP      3.7687e-02   3.1416e-02
  132  00:00:01   7.2976e-02     12  SN      4.6575e-02   3.1416e-02
  132  00:00:01   7.2976e-02     13  BP      4.6575e-02   3.1416e-02
  139  00:00:01   7.5923e-02     14  SN      4.8874e-02   3.1416e-02
  139  00:00:01   7.5923e-02     15  BP      4.8874e-02   3.1416e-02
  223  00:00:02   1.1543e-01     16  UZ      7.8540e-02   3.1416e-02
  445  00:00:03   2.2435e-01     17  UZ      1.5708e-01   3.1416e-02
  667  00:00:04   3.3469e-01     18  UZ      2.3562e-01   3.1416e-02
  889  00:00:06   4.4540e-01     19  UZ      3.1416e-01   3.1416e-02
 1111  00:00:06   5.5625e-01     20  EP      3.9270e-01   3.1416e-02
