
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   34  00:00:00   4.5851e-02      4  HB      2.3615e-02   3.1416e-02
   52  00:00:00   6.0157e-02      5  SN      3.6276e-02   3.1416e-02
   52  00:00:00   6.0157e-02      6  BP      3.6276e-02   3.1416e-02
   58  00:00:00   6.5397e-02      7  SN      4.0558e-02   3.1416e-02
   58  00:00:00   6.5397e-02      8  BP      4.0558e-02   3.1416e-02
   73  00:00:01   7.8665e-02      9  HB      5.0996e-02   3.1416e-02
  556  00:00:02   5.5625e-01     10  EP      3.9270e-01   3.1416e-02
