
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.1153e-01      1  EP      6.9582e-02   3.1416e-02
    1  00:00:00   1.1108e-01      2  BP      6.9294e-02   3.1416e-02
    1  00:00:00   1.1108e-01      3  SN      6.9291e-02   3.1416e-02
   38  00:00:00   8.8708e-02      4  SN      5.4540e-02   3.1416e-02
   38  00:00:00   8.8720e-02      5  FP      5.4522e-02   3.1416e-02
   48  00:00:00   9.2829e-02      6  SN      5.6717e-02   3.1416e-02
   48  00:00:00   9.2670e-02      7  BP      5.6590e-02   3.1416e-02
   89  00:00:00   1.2925e-01      8  UZ      7.8540e-02   3.1416e-02
  220  00:00:01   2.5812e-01      9  UZ      1.5708e-01   3.1416e-02
  350  00:00:02   3.8701e-01     10  UZ      2.3562e-01   3.1416e-02
  479  00:00:02   5.1593e-01     11  UZ      3.1416e-01   3.1416e-02
  608  00:00:03   6.4486e-01     12  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   1.1153e-01     13  EP      6.9582e-02   3.1416e-02
    1  00:00:03   1.1199e-01     14  BP      6.9873e-02   3.1416e-02
    1  00:00:03   1.1199e-01     15  SN      6.9875e-02   3.1416e-02
   17  00:00:03   1.2563e-01     16  UZ      7.8540e-02   3.1416e-02
  144  00:00:04   2.4991e-01     17  UZ      1.5708e-01   3.1416e-02
  270  00:00:06   3.7452e-01     18  UZ      2.3562e-01   3.1416e-02
  395  00:00:06   4.9920e-01     19  UZ      3.1416e-01   3.1416e-02
  520  00:00:07   6.2391e-01     20  EP      3.9270e-01   3.1416e-02
