
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.30e-05  5.46e-02    0.0    0.0    0.0
   1   1  1.00e+00  8.95e-03  3.20e-06  5.08e-02    0.0    0.0    0.0
   2   1  1.00e+00  5.82e-03  6.03e-07  4.89e-02    0.0    0.0    0.0
   3   1  1.00e+00  3.34e-03  1.03e-07  4.81e-02    0.0    0.0    0.0
   4   1  1.00e+00  1.58e-03  1.86e-08  4.78e-02    0.0    0.0    0.0
   5   1  1.00e+00  4.60e-04  1.42e-09  4.77e-02    0.0    0.0    0.0
   6   1  1.00e+00  4.08e-05  1.07e-11  4.77e-02    0.0    0.0    0.0
   7   1  1.00e+00  3.14e-07  6.34e-16  4.77e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7736e-02      1  EP      2.4780e-02   3.1416e-02
    1  00:00:00   4.7497e-02      2  SN      2.4631e-02   3.1416e-02
    1  00:00:00   4.7497e-02      3  BP      2.4631e-02   3.1416e-02
   58  00:00:00   3.4452e-02      4  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7736e-02      5  EP      2.4780e-02   3.1416e-02
    2  00:00:00   4.8374e-02      6  SN      2.5165e-02   3.1416e-02
    2  00:00:00   4.8374e-02      7  BP      2.5165e-02   3.1416e-02
    5  00:00:00   4.9719e-02      8  SN      2.5975e-02   3.1416e-02
    5  00:00:00   4.9719e-02      9  BP      2.5975e-02   3.1416e-02
  109  00:00:01   1.4264e-01     10  UZ      7.8540e-02   3.1416e-02
  252  00:00:02   2.8375e-01     11  UZ      1.5708e-01   3.1416e-02
  394  00:00:03   4.2516e-01     12  UZ      2.3562e-01   3.1416e-02
  535  00:00:03   5.6665e-01     13  UZ      3.1416e-01   3.1416e-02
  677  00:00:04   7.0818e-01     14  EP      3.9270e-01   3.1416e-02
