
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5851e-02      1  EP      2.3615e-02   3.1416e-02
    1  00:00:00   4.5851e-02      2  HB      2.3615e-02   3.1416e-02
    1  00:00:00   4.5851e-02      3  BP      2.3615e-02   3.1416e-02
    1  00:00:00   4.5809e-02      4  FP      2.3573e-02   3.1416e-02
    9  00:00:00   4.7585e-02      5  UZ      2.4796e-02   3.1416e-02
  120  00:00:00   1.4425e-01      6  UZ      7.8540e-02   3.1416e-02
  268  00:00:01   2.9027e-01      7  UZ      1.5708e-01   3.1416e-02
  414  00:00:01   4.3601e-01      8  UZ      2.3562e-01   3.1416e-02
  560  00:00:02   5.8163e-01      9  UZ      3.1416e-01   3.1416e-02
  706  00:00:02   7.2721e-01     10  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   4.5851e-02     11  EP      2.3615e-02   3.1416e-02
    1  00:00:02   4.5851e-02     12  BP      2.3615e-02   3.1416e-02
    1  00:00:02   4.5942e-02     13  FP      2.3693e-02   3.1416e-02
    2  00:00:02   4.5946e-02     14  FP      2.3684e-02   3.1416e-02
    2  00:00:02   4.5958e-02     15  BP      2.3689e-02   3.1416e-02
    9  00:00:02   4.7614e-02     16  UZ      2.4796e-02   3.1416e-02
  119  00:00:03   1.4425e-01     17  UZ      7.8540e-02   3.1416e-02
  267  00:00:03   2.9027e-01     18  UZ      1.5708e-01   3.1416e-02
  413  00:00:04   4.3601e-01     19  UZ      2.3562e-01   3.1416e-02
  559  00:00:05   5.8163e-01     20  UZ      3.1416e-01   3.1416e-02
  705  00:00:05   7.2721e-01     21  EP      3.9270e-01   3.1416e-02
