
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3617e-02      1  EP      2.1394e-02   3.1416e-02
    1  00:00:00   4.3617e-02      2  SN      2.1394e-02   3.1416e-02
    1  00:00:00   4.3609e-02      3  FP      2.1385e-02   3.1416e-02
  278  00:00:01   1.5899e-01      4  UZ      7.8540e-02   3.1416e-02
  595  00:00:02   3.1618e-01      5  UZ      1.5708e-01   3.1416e-02
  911  00:00:03   4.7366e-01      6  UZ      2.3562e-01   3.1416e-02
 1227  00:00:04   6.3126e-01      7  UZ      3.1416e-01   3.1416e-02
 1543  00:00:05   7.8890e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:05   4.3617e-02      9  EP      2.1394e-02   3.1416e-02
    1  00:00:05   4.3617e-02     10  BP      2.1394e-02   3.1416e-02
    1  00:00:05   4.3627e-02     11  FP      2.1402e-02   3.1416e-02
    2  00:00:06   4.3627e-02     12  SN      2.1402e-02   3.1416e-02
    2  00:00:06   4.3631e-02     13  FP      2.1401e-02   3.1416e-02
  278  00:00:07   1.5899e-01     14  UZ      7.8540e-02   3.1416e-02
  595  00:00:08   3.1618e-01     15  UZ      1.5708e-01   3.1416e-02
  911  00:00:09   4.7366e-01     16  UZ      2.3562e-01   3.1416e-02
 1227  00:00:11   6.3126e-01     17  UZ      3.1416e-01   3.1416e-02
 1543  00:00:12   7.8890e-01     18  EP      3.9270e-01   3.1416e-02
