
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   29  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   57  00:00:00   4.2351e-02      4  SN      2.0083e-02   3.1416e-02
   57  00:00:00   4.2351e-02      5  BP      2.0083e-02   3.1416e-02
   61  00:00:00   4.3617e-02      6  SN      2.1394e-02   3.1416e-02
   61  00:00:00   4.3617e-02      7  BP      2.1394e-02   3.1416e-02
   91  00:00:00   5.5016e-02      8  SN      3.1936e-02   3.1416e-02
   91  00:00:00   5.5016e-02      9  BP      3.1936e-02   3.1416e-02
  101  00:00:00   5.9344e-02     10  SN      3.5600e-02   3.1416e-02
  101  00:00:00   5.9344e-02     11  BP      3.5600e-02   3.1416e-02
  124  00:00:00   6.9227e-02     12  SN      4.3620e-02   3.1416e-02
  124  00:00:00   6.9227e-02     13  BP      4.3620e-02   3.1416e-02
  135  00:00:01   7.4201e-02     14  SN      4.7533e-02   3.1416e-02
  135  00:00:01   7.4201e-02     15  BP      4.7533e-02   3.1416e-02
 1111  00:00:04   5.5625e-01     16  EP      3.9270e-01   3.1416e-02
