
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.1154e-01      1  EP      6.9588e-02   3.1416e-02
    1  00:00:00   1.1110e-01      2  BP      6.9308e-02   3.1416e-02
    1  00:00:00   1.1110e-01      3  SN      6.9305e-02   3.1416e-02
   38  00:00:00   8.8701e-02      4  SN      5.4535e-02   3.1416e-02
   38  00:00:00   8.8724e-02      5  FP      5.4523e-02   3.1416e-02
   48  00:00:00   9.2796e-02      6  SN      5.6691e-02   3.1416e-02
   48  00:00:00   9.2670e-02      7  BP      5.6591e-02   3.1416e-02
   89  00:00:00   1.2925e-01      8  UZ      7.8540e-02   3.1416e-02
  220  00:00:01   2.5812e-01      9  UZ      1.5708e-01   3.1416e-02
  350  00:00:02   3.8701e-01     10  UZ      2.3562e-01   3.1416e-02
  479  00:00:02   5.1593e-01     11  UZ      3.1416e-01   3.1416e-02
  608  00:00:03   6.4486e-01     12  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   1.1154e-01     13  EP      6.9588e-02   3.1416e-02
    1  00:00:03   1.1200e-01     14  BP      6.9881e-02   3.1416e-02
   18  00:00:03   1.2563e-01     15  UZ      7.8540e-02   3.1416e-02
  145  00:00:04   2.4991e-01     16  UZ      1.5708e-01   3.1416e-02
  270  00:00:04   3.7452e-01     17  UZ      2.3562e-01   3.1416e-02
  395  00:00:05   4.9920e-01     18  UZ      3.1416e-01   3.1416e-02
  520  00:00:06   6.2391e-01     19  EP      3.9270e-01   3.1416e-02
