
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.5397e-02      1  EP      4.0558e-02   3.1416e-02
    1  00:00:00   6.5397e-02      2  SN      4.0558e-02   3.1416e-02
    1  00:00:00   6.5354e-02      3  FP      4.0519e-02   3.1416e-02
   92  00:00:00   1.3551e-01      4  UZ      7.8540e-02   3.1416e-02
  235  00:00:01   2.7556e-01      5  UZ      1.5708e-01   3.1416e-02
  374  00:00:02   4.1459e-01      6  UZ      2.3562e-01   3.1416e-02
  513  00:00:03   5.5337e-01      7  UZ      3.1416e-01   3.1416e-02
  652  00:00:04   6.9205e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   6.5397e-02      9  EP      4.0558e-02   3.1416e-02
    1  00:00:04   6.5397e-02     10  BP      4.0558e-02   3.1416e-02
    1  00:00:04   6.5446e-02     11  FP      4.0591e-02   3.1416e-02
    2  00:00:04   6.5446e-02     12  SN      4.0591e-02   3.1416e-02
    2  00:00:04   6.5451e-02     13  FP      4.0584e-02   3.1416e-02
   92  00:00:05   1.3551e-01     14  UZ      7.8540e-02   3.1416e-02
  234  00:00:06   2.7556e-01     15  UZ      1.5708e-01   3.1416e-02
  374  00:00:07   4.1459e-01     16  UZ      2.3562e-01   3.1416e-02
  513  00:00:08   5.5337e-01     17  UZ      3.1416e-01   3.1416e-02
  652  00:00:08   6.9205e-01     18  EP      3.9270e-01   3.1416e-02
