
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.30e-05  5.46e-02    0.0    0.0    0.0
   1   1  1.00e+00  8.95e-03  3.21e-06  5.08e-02    0.0    0.0    0.0
   2   1  1.00e+00  5.82e-03  6.04e-07  4.90e-02    0.0    0.0    0.0
   3   1  1.00e+00  3.33e-03  1.03e-07  4.82e-02    0.0    0.0    0.0
   4   1  1.00e+00  1.57e-03  1.83e-08  4.78e-02    0.0    0.0    0.0
   5   1  1.00e+00  4.51e-04  1.37e-09  4.78e-02    0.0    0.0    0.0
   6   1  1.00e+00  3.88e-05  9.82e-12  4.78e-02    0.0    0.0    0.0
   7   1  1.00e+00  2.82e-07  5.18e-16  4.78e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7762e-02      1  EP      2.4796e-02   3.1416e-02
    1  00:00:00   4.7517e-02      2  SN      2.4643e-02   3.1416e-02
    1  00:00:00   4.7517e-02      3  BP      2.4643e-02   3.1416e-02
   58  00:00:00   3.4452e-02      4  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7762e-02      5  EP      2.4796e-02   3.1416e-02
    2  00:00:00   4.8425e-02      6  SN      2.5195e-02   3.1416e-02
    2  00:00:00   4.8425e-02      7  BP      2.5195e-02   3.1416e-02
    4  00:00:00   4.9720e-02      8  BP      2.5976e-02   3.1416e-02
    4  00:00:00   4.9720e-02      9  SN      2.5976e-02   3.1416e-02
  109  00:00:00   1.4264e-01     10  UZ      7.8540e-02   3.1416e-02
  252  00:00:01   2.8375e-01     11  UZ      1.5708e-01   3.1416e-02
  394  00:00:02   4.2516e-01     12  UZ      2.3562e-01   3.1416e-02
  535  00:00:02   5.6665e-01     13  UZ      3.1416e-01   3.1416e-02
  677  00:00:03   7.0818e-01     14  EP      3.9270e-01   3.1416e-02
