
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
  312  00:00:01   4.4232e-02      2  SN      2.2017e-02   3.1416e-02
  312  00:00:01   4.4232e-02      3  BP      2.2017e-02   3.1416e-02
  355  00:00:01   4.7371e-02      4  SN      2.5071e-02   3.1416e-02
  355  00:00:01   4.7371e-02      5  BP      2.5071e-02   3.1416e-02
  392  00:00:01   5.0222e-02      6  SN      2.7706e-02   3.1416e-02
  392  00:00:01   5.0222e-02      7  BP      2.7706e-02   3.1416e-02
  514  00:00:02   6.0157e-02      8  SN      3.6276e-02   3.1416e-02
  514  00:00:02   6.0157e-02      9  BP      3.6276e-02   3.1416e-02
  679  00:00:04   7.4785e-02     10  SN      4.7989e-02   3.1416e-02
  679  00:00:04   7.4785e-02     11  BP      4.7989e-02   3.1416e-02
  707  00:00:04   7.7334e-02     12  SN      4.9968e-02   3.1416e-02
  707  00:00:04   7.7334e-02     13  BP      4.9968e-02   3.1416e-02
  737  00:00:04   8.0057e-02     14  SN      5.2068e-02   3.1416e-02
  737  00:00:04   8.0057e-02     15  BP      5.2068e-02   3.1416e-02
 1415  00:00:07   1.4487e-01     16  UZ      1.0000e-01   3.1416e-02
 2122  00:00:09   2.1445e-01     17  EP      1.5000e-01   3.1416e-02
