
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7371e-02      1  EP      2.5071e-02   3.1416e-02
    1  00:00:00   4.7371e-02      2  SN      2.5071e-02   3.1416e-02
    1  00:00:00   4.7371e-02      3  FP      2.5070e-02   3.1416e-02
  332  00:00:01   6.6345e-02      4  SN      3.6021e-02   3.1416e-02
  332  00:00:01   6.6345e-02      5  BP      3.6021e-02   3.1416e-02
 1600  00:00:06   1.8642e-01      6  UZ      1.0000e-01   3.1416e-02
 2550  00:00:11   2.8048e-01      7  EP      1.5000e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:11   4.7371e-02      8  EP      2.5071e-02   3.1416e-02
    1  00:00:11   4.7371e-02      9  BP      2.5071e-02   3.1416e-02
    1  00:00:11   4.7372e-02     10  FP      2.5071e-02   3.1416e-02
    2  00:00:11   4.7372e-02     11  SN      2.5071e-02   3.1416e-02
    2  00:00:11   4.7372e-02     12  FP      2.5071e-02   3.1416e-02
  332  00:00:13   6.6345e-02     13  SN      3.6021e-02   3.1416e-02
  332  00:00:13   6.6345e-02     14  BP      3.6021e-02   3.1416e-02
 1600  00:00:19   1.8642e-01     15  UZ      1.0000e-01   3.1416e-02
 2550  00:00:25   2.8048e-01     16  EP      1.5000e-01   3.1416e-02
