
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-01      1  EP      0.0000e+00   3.1416e-01
   31  00:00:00   4.3748e-01      2  SN      2.1528e-01   3.1416e-01
   31  00:00:00   4.3748e-01      3  BP      2.1528e-01   3.1416e-01
   35  00:00:01   4.6661e-01      4  SN      2.4396e-01   3.1416e-01
   35  00:00:01   4.6661e-01      5  BP      2.4396e-01   3.1416e-01
   42  00:00:01   5.2218e-01      6  HB      2.9493e-01   3.1416e-01
   42  00:00:02   5.2218e-01      7  UZ      2.9493e-01   3.1416e-01
   50  00:00:02   5.8626e-01      8  UZ      3.5000e-01   3.1416e-01
   52  00:00:02   6.0157e-01      9  SN      3.6276e-01   3.1416e-01
   52  00:00:02   6.0157e-01     10  BP      3.6276e-01   3.1416e-01
   64  00:00:02   7.0481e-01     11  HB      4.4612e-01   3.1416e-01
   64  00:00:02   7.0481e-01     12  UZ      4.4612e-01   3.1416e-01
   69  00:00:03   7.5241e-01     13  SN      4.8344e-01   3.1416e-01
   69  00:00:03   7.5241e-01     14  BP      4.8344e-01   3.1416e-01
   71  00:00:03   7.7375e-01     15  EP      5.0000e-01   3.1416e-01
