
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3748e-01      1  EP      2.1528e-01   3.1416e-01
    1  00:00:00   4.3748e-01      2  SN      2.1528e-01   3.1416e-01
    1  00:00:00   4.3724e-01      3  FP      2.1496e-01   3.1416e-01
   49  00:00:01   7.2681e-01      4  UZ      3.5000e-01   3.1416e-01
   82  00:00:02   1.0351e+00      5  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   4.3748e-01      6  EP      2.1528e-01   3.1416e-01
    1  00:00:02   4.3748e-01      7  BP      2.1528e-01   3.1416e-01
    1  00:00:02   4.3787e-01      8  FP      2.1556e-01   3.1416e-01
    2  00:00:02   4.3787e-01      9  SN      2.1556e-01   3.1416e-01
    2  00:00:03   4.3801e-01     10  FP      2.1550e-01   3.1416e-01
   48  00:00:04   7.2681e-01     11  UZ      3.5000e-01   3.1416e-01
   82  00:00:05   1.0351e+00     12  EP      5.0000e-01   3.1416e-01
