
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-01      1  EP      0.0000e+00   3.1416e-01
   31  00:00:00   4.3923e-01      2  SN      2.1705e-01   3.1416e-01
   31  00:00:00   4.3923e-01      3  BP      2.1705e-01   3.1416e-01
   39  00:00:00   4.9792e-01      4  SN      2.7315e-01   3.1416e-01
   39  00:00:00   4.9792e-01      5  BP      2.7315e-01   3.1416e-01
   43  00:00:01   5.2867e-01      6  SN      3.0066e-01   3.1416e-01
   43  00:00:01   5.2867e-01      7  BP      3.0066e-01   3.1416e-01
   50  00:00:01   5.8626e-01      8  UZ      3.5000e-01   3.1416e-01
   52  00:00:01   6.0157e-01      9  SN      3.6276e-01   3.1416e-01
   52  00:00:01   6.0157e-01     10  BP      3.6276e-01   3.1416e-01
   63  00:00:02   6.9931e-01     11  SN      4.4178e-01   3.1416e-01
   63  00:00:02   6.9931e-01     12  BP      4.4178e-01   3.1416e-01
   66  00:00:02   7.2526e-01     13  SN      4.6223e-01   3.1416e-01
   66  00:00:02   7.2526e-01     14  BP      4.6223e-01   3.1416e-01
   69  00:00:02   7.5726e-01     15  SN      4.8721e-01   3.1416e-01
   69  00:00:02   7.5726e-01     16  BP      4.8721e-01   3.1416e-01
   70  00:00:02   7.5823e-01     17  SN      4.8797e-01   3.1416e-01
   70  00:00:02   7.5823e-01     18  BP      4.8797e-01   3.1416e-01
   71  00:00:02   7.7375e-01     19  EP      5.0000e-01   3.1416e-01
