
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3923e-01      1  EP      2.1705e-01   3.1416e-01
    1  00:00:00   4.3923e-01      2  SN      2.1705e-01   3.1416e-01
    1  00:00:00   4.3896e-01      3  FP      2.1671e-01   3.1416e-01
   48  00:00:01   7.2042e-01      4  UZ      3.5000e-01   3.1416e-01
   82  00:00:01   1.0330e+00      5  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   4.3923e-01      6  EP      2.1705e-01   3.1416e-01
    1  00:00:01   4.3923e-01      7  BP      2.1705e-01   3.1416e-01
    1  00:00:01   4.3963e-01      8  FP      2.1735e-01   3.1416e-01
    2  00:00:02   4.3963e-01      9  SN      2.1735e-01   3.1416e-01
    2  00:00:02   4.3977e-01     10  FP      2.1728e-01   3.1416e-01
   47  00:00:03   7.2042e-01     11  UZ      3.5000e-01   3.1416e-01
   81  00:00:03   1.0330e+00     12  EP      5.0000e-01   3.1416e-01
