
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-01      1  EP      0.0000e+00   3.1416e-01
   32  00:00:02   4.4763e-01      2  SN      2.2547e-01   3.1416e-01
   32  00:00:02   4.4763e-01      3  BP      2.2547e-01   3.1416e-01
   33  00:00:03   4.4947e-01      4  SN      2.2729e-01   3.1416e-01
   33  00:00:04   4.4947e-01      5  BP      2.2729e-01   3.1416e-01
   34  00:00:05   4.6056e-01      6  SN      2.3813e-01   3.1416e-01
   34  00:00:05   4.6056e-01      7  BP      2.3813e-01   3.1416e-01
   35  00:00:06   4.6661e-01      8  SN      2.4396e-01   3.1416e-01
   35  00:00:06   4.6661e-01      9  BP      2.4396e-01   3.1416e-01
   36  00:00:07   4.7049e-01     10  SN      2.4765e-01   3.1416e-01
   36  00:00:07   4.7049e-01     11  BP      2.4765e-01   3.1416e-01
   36  00:00:07   4.7297e-01     12  UZ      2.5000e-01   3.1416e-01
   39  00:00:08   4.9823e-01     13  SN      2.7343e-01   3.1416e-01
   39  00:00:08   4.9823e-01     14  BP      2.7343e-01   3.1416e-01
   40  00:00:10   5.0712e-01     15  SN      2.8149e-01   3.1416e-01
   40  00:00:10   5.0712e-01     16  BP      2.8149e-01   3.1416e-01
   41  00:00:11   5.0972e-01     17  SN      2.8383e-01   3.1416e-01
   41  00:00:11   5.0972e-01     18  BP      2.8383e-01   3.1416e-01
   48  00:00:12   5.7060e-01     19  SN      3.3682e-01   3.1416e-01
   48  00:00:12   5.7060e-01     20  BP      3.3682e-01   3.1416e-01
   52  00:00:13   6.0157e-01     21  SN      3.6276e-01   3.1416e-01
   52  00:00:14   6.0157e-01     22  BP      3.6276e-01   3.1416e-01
   59  00:00:15   6.6287e-01     23  SN      4.1273e-01   3.1416e-01
   59  00:00:15   6.6287e-01     24  BP      4.1273e-01   3.1416e-01
   61  00:00:16   6.8249e-01     25  SN      4.2842e-01   3.1416e-01
   61  00:00:16   6.8249e-01     26  BP      4.2842e-01   3.1416e-01
   62  00:00:18   6.8715e-01     27  SN      4.3214e-01   3.1416e-01
   62  00:00:18   6.8715e-01     28  BP      4.3214e-01   3.1416e-01
   66  00:00:19   7.2500e-01     29  SN      4.6202e-01   3.1416e-01
   66  00:00:20   7.2500e-01     30  BP      4.6202e-01   3.1416e-01
   68  00:00:21   7.4894e-01     31  SN      4.8074e-01   3.1416e-01
   68  00:00:21   7.4894e-01     32  BP      4.8074e-01   3.1416e-01
   71  00:00:21   7.7375e-01     33  EP      5.0000e-01   3.1416e-01
