
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.6287e-01      1  EP      4.1273e-01   3.1416e-01
    1  00:00:00   6.6287e-01      2  SN      4.1273e-01   3.1416e-01
    1  00:00:01   6.6285e-01      3  FP      4.1271e-01   3.1416e-01
   13  00:00:03   6.8222e-01      4  SN      4.1971e-01   3.1416e-01
   13  00:00:03   6.8222e-01      5  BP      4.1971e-01   3.1416e-01
   31  00:00:06   6.9930e-01      6  SN      4.2899e-01   3.1416e-01
   31  00:00:06   6.9930e-01      7  BP      4.2899e-01   3.1416e-01
   33  00:00:07   7.0600e-01      8  SN      4.3354e-01   3.1416e-01
   33  00:00:08   7.0600e-01      9  BP      4.3354e-01   3.1416e-01
   39  00:00:09   7.4281e-01     10  SN      4.5686e-01   3.1416e-01
   39  00:00:09   7.4281e-01     11  BP      4.5686e-01   3.1416e-01
   44  00:00:11   7.6848e-01     12  SN      4.7251e-01   3.1416e-01
   44  00:00:11   7.6848e-01     13  BP      4.7251e-01   3.1416e-01
   47  00:00:12   7.7567e-01     14  SN      4.7669e-01   3.1416e-01
   47  00:00:12   7.7567e-01     15  BP      4.7669e-01   3.1416e-01
   55  00:00:15   8.0269e-01     16  SN      4.9025e-01   3.1416e-01
   55  00:00:15   8.0269e-01     17  BP      4.9025e-01   3.1416e-01
   60  00:00:15   8.2568e-01     18  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:17   6.6287e-01     19  EP      4.1273e-01   3.1416e-01
    1  00:00:17   6.6287e-01     20  BP      4.1273e-01   3.1416e-01
    1  00:00:17   6.6292e-01     21  SN      4.1276e-01   3.1416e-01
   13  00:00:19   6.8222e-01     22  SN      4.1971e-01   3.1416e-01
   13  00:00:19   6.8222e-01     23  BP      4.1971e-01   3.1416e-01
   31  00:00:23   6.9930e-01     24  SN      4.2899e-01   3.1416e-01
   31  00:00:23   6.9930e-01     25  BP      4.2899e-01   3.1416e-01
   33  00:00:24   7.0600e-01     26  SN      4.3354e-01   3.1416e-01
   33  00:00:24   7.0600e-01     27  BP      4.3354e-01   3.1416e-01
   39  00:00:26   7.4281e-01     28  SN      4.5686e-01   3.1416e-01
   39  00:00:26   7.4281e-01     29  BP      4.5686e-01   3.1416e-01
   44  00:00:28   7.6848e-01     30  SN      4.7251e-01   3.1416e-01
   44  00:00:28   7.6848e-01     31  BP      4.7251e-01   3.1416e-01
   47  00:00:29   7.7567e-01     32  SN      4.7669e-01   3.1416e-01
   47  00:00:30   7.7567e-01     33  BP      4.7669e-01   3.1416e-01
   55  00:00:32   8.0269e-01     34  SN      4.9025e-01   3.1416e-01
   55  00:00:32   8.0269e-01     35  BP      4.9025e-01   3.1416e-01
   60  00:00:34   8.2568e-01     36  EP      5.0000e-01   3.1416e-01
