
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-01      1  EP      0.0000e+00   3.1416e-01
   32  00:00:00   4.4220e-01      2  SN      2.2005e-01   3.1416e-01
   32  00:00:00   4.4220e-01      3  BP      2.2005e-01   3.1416e-01
   33  00:00:00   4.5231e-01      4  SN      2.3009e-01   3.1416e-01
   33  00:00:00   4.5231e-01      5  BP      2.3009e-01   3.1416e-01
   36  00:00:00   4.7363e-01      6  SN      2.5062e-01   3.1416e-01
   36  00:00:00   4.7363e-01      7  BP      2.5062e-01   3.1416e-01
   37  00:00:00   4.8314e-01      8  SN      2.5955e-01   3.1416e-01
   37  00:00:00   4.8314e-01      9  BP      2.5955e-01   3.1416e-01
   44  00:00:01   5.3687e-01     10  SN      3.0784e-01   3.1416e-01
   44  00:00:01   5.3687e-01     11  BP      3.0784e-01   3.1416e-01
   50  00:00:01   5.8626e-01     12  UZ      3.5000e-01   3.1416e-01
   52  00:00:01   6.0157e-01     13  SN      3.6276e-01   3.1416e-01
   52  00:00:01   6.0157e-01     14  BP      3.6276e-01   3.1416e-01
   62  00:00:01   6.9234e-01     15  SN      4.3626e-01   3.1416e-01
   62  00:00:01   6.9234e-01     16  BP      4.3626e-01   3.1416e-01
   67  00:00:01   7.3787e-01     17  SN      4.7210e-01   3.1416e-01
   67  00:00:01   7.3787e-01     18  BP      4.7210e-01   3.1416e-01
   68  00:00:01   7.4617e-01     19  SN      4.7857e-01   3.1416e-01
   68  00:00:01   7.4617e-01     20  BP      4.7857e-01   3.1416e-01
   70  00:00:02   7.6572e-01     21  SN      4.9377e-01   3.1416e-01
   70  00:00:02   7.6572e-01     22  BP      4.9377e-01   3.1416e-01
   71  00:00:02   7.7375e-01     23  EP      5.0000e-01   3.1416e-01
