
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.8626e-01      1  EP      3.5000e-01   3.1416e-01
    1  00:00:00   5.8626e-01      2  UZ      3.5000e-01   3.1416e-01
    7  00:00:00   5.3687e-01      3  SN      3.0784e-01   3.1416e-01
    7  00:00:00   5.3687e-01      4  BP      3.0784e-01   3.1416e-01
   14  00:00:00   4.8314e-01      5  SN      2.5955e-01   3.1416e-01
   14  00:00:00   4.8314e-01      6  BP      2.5955e-01   3.1416e-01
   15  00:00:00   4.7363e-01      7  SN      2.5062e-01   3.1416e-01
   15  00:00:00   4.7363e-01      8  BP      2.5062e-01   3.1416e-01
   18  00:00:00   4.5231e-01      9  SN      2.3009e-01   3.1416e-01
   18  00:00:00   4.5231e-01     10  BP      2.3009e-01   3.1416e-01
   19  00:00:01   4.4220e-01     11  SN      2.2005e-01   3.1416e-01
   19  00:00:01   4.4220e-01     12  BP      2.2005e-01   3.1416e-01
   50  00:00:01   3.1416e-01     13  EP      8.6736e-19   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   5.8626e-01     14  EP      3.5000e-01   3.1416e-01
    3  00:00:02   6.0157e-01     15  SN      3.6276e-01   3.1416e-01
    3  00:00:02   6.0157e-01     16  BP      3.6276e-01   3.1416e-01
   13  00:00:03   6.9234e-01     17  SN      4.3626e-01   3.1416e-01
   13  00:00:03   6.9234e-01     18  BP      4.3626e-01   3.1416e-01
   18  00:00:03   7.3787e-01     19  SN      4.7210e-01   3.1416e-01
   18  00:00:03   7.3787e-01     20  BP      4.7210e-01   3.1416e-01
   19  00:00:03   7.4617e-01     21  SN      4.7857e-01   3.1416e-01
   19  00:00:03   7.4617e-01     22  BP      4.7857e-01   3.1416e-01
   21  00:00:04   7.6572e-01     23  SN      4.9377e-01   3.1416e-01
   21  00:00:04   7.6572e-01     24  BP      4.9377e-01   3.1416e-01
   22  00:00:04   7.7375e-01     25  EP      5.0000e-01   3.1416e-01
