
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
    4  00:00:00   4.3748e-02      2  SN      2.1528e-02   3.1416e-02
    4  00:00:00   4.3748e-02      3  BP      2.1528e-02   3.1416e-02
    6  00:00:00   6.0157e-02      4  SN      3.6276e-02   3.1416e-02
    6  00:00:00   6.0157e-02      5  BP      3.6276e-02   3.1416e-02
    8  00:00:00   7.8081e-02      6  SN      5.0546e-02   3.1416e-02
    8  00:00:00   7.8081e-02      7  BP      5.0546e-02   3.1416e-02
    9  00:00:00   8.8355e-02      8  HB      5.8393e-02   3.1416e-02
    9  00:00:00   8.8355e-02      9  UZ      5.8393e-02   3.1416e-02
   11  00:00:00   1.0731e-01     10  SN      7.2552e-02   3.1416e-02
   11  00:00:00   1.0731e-01     11  BP      7.2552e-02   3.1416e-02
   12  00:00:00   1.1535e-01     12  HB      7.8481e-02   3.1416e-02
   12  00:00:00   1.1535e-01     13  UZ      7.8481e-02   3.1416e-02
   13  00:00:00   1.2950e-01     14  SN      8.8832e-02   3.1416e-02
   13  00:00:00   1.2950e-01     15  BP      8.8832e-02   3.1416e-02
   15  00:00:00   1.4487e-01     16  UZ      1.0000e-01   3.1416e-02
   57  00:00:00   5.6656e-01     17  EP      4.0000e-01   3.1416e-02
