
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.9655e-01      1  EP      2.7134e-01   1.0000e-01
    1  00:00:00   3.9655e-01      2  SN      2.7134e-01   1.0000e-01
    1  00:00:00   3.9621e-01      3  FP      2.7109e-01   1.0000e-01
   13  00:00:00   4.1806e-01      4  SN      2.8555e-01   1.0000e-01
   13  00:00:00   4.1806e-01      5  BP      2.8555e-01   1.0000e-01
   32  00:00:00   5.9034e-01      6  EP      4.0000e-01   1.0000e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.9655e-01      7  EP      2.7134e-01   1.0000e-01
    1  00:00:00   3.9655e-01      8  BP      2.7134e-01   1.0000e-01
    1  00:00:00   3.9680e-01      9  SN      2.7151e-01   1.0000e-01
    8  00:00:00   4.1806e-01     10  SN      2.8555e-01   1.0000e-01
    8  00:00:00   4.1806e-01     11  BP      2.8555e-01   1.0000e-01
   27  00:00:01   5.9034e-01     12  EP      4.0000e-01   1.0000e-01
