
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          2.27e-05  3.14e-02    0.0    0.0    0.0
   1   1  1.00e+00  3.14e-05  1.32e-12  3.14e-02    0.0    0.0    0.0
   2   1  1.00e+00  3.52e-09  1.37e-24  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
    3  00:00:00   4.0558e-02      2  SN      1.8138e-02   3.1416e-02
    3  00:00:00   4.0558e-02      3  BP      1.8138e-02   3.1416e-02
    4  00:00:00   4.9434e-02      4  HB      2.6989e-02   3.1416e-02
    7  00:00:00   7.2829e-02      5  HB      4.6461e-02   3.1416e-02
    8  00:00:00   8.3119e-02      6  SN      5.4414e-02   3.1416e-02
    8  00:00:00   8.3119e-02      7  BP      5.4414e-02   3.1416e-02
    9  00:00:00   8.6987e-02      8  SN      5.7357e-02   3.1416e-02
    9  00:00:00   8.6987e-02      9  BP      5.7357e-02   3.1416e-02
   10  00:00:00   9.8136e-02     10  HB      6.5741e-02   3.1416e-02
   11  00:00:00   1.0731e-01     11  SN      7.2552e-02   3.1416e-02
   11  00:00:00   1.0731e-01     12  BP      7.2552e-02   3.1416e-02
   12  00:00:01   1.1535e-01     13  SN      7.8481e-02   3.1416e-02
   12  00:00:01   1.1535e-01     14  BP      7.8481e-02   3.1416e-02
   13  00:00:01   1.3205e-01     15  SN      9.0690e-02   3.1416e-02
   13  00:00:01   1.3205e-01     16  BP      9.0690e-02   3.1416e-02
   15  00:00:01   1.4487e-01     17  UZ      1.0000e-01   3.1416e-02
   29  00:00:01   2.8458e-01     18  EP      2.0000e-01   3.1416e-02
