
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.1535e-01      1  EP      7.8481e-02   3.1416e-02
    1  00:00:00   1.1535e-01      2  SN      7.8481e-02   3.1416e-02
    1  00:00:00   1.1477e-01      3  FP      7.8054e-02   3.1416e-02
   15  00:00:00   1.4952e-01      4  UZ      1.0000e-01   3.1416e-02
   31  00:00:00   3.0505e-01      5  EP      2.0000e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.1535e-01      6  EP      7.8481e-02   3.1416e-02
    1  00:00:00   1.1535e-01      7  BP      7.8481e-02   3.1416e-02
    1  00:00:00   1.1640e-01      8  SN      7.9209e-02   3.1416e-02
    8  00:00:00   1.4952e-01      9  UZ      1.0000e-01   3.1416e-02
   24  00:00:00   3.0505e-01     10  EP      2.0000e-01   3.1416e-02
