
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.3412e-01      1  EP      3.8950e-01   3.1416e-01
    1  00:00:00   6.3412e-01      2  HB      3.8950e-01   3.1416e-01
    1  00:00:00   6.3412e-01      3  BP      3.8950e-01   3.1416e-01
    1  00:00:00   6.3408e-01      4  FP      3.8946e-01   3.1416e-01
   40  00:00:00   8.5266e-01      5  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.3412e-01      6  EP      3.8950e-01   3.1416e-01
    1  00:00:00   6.3412e-01      7  BP      3.8950e-01   3.1416e-01
    1  00:00:00   6.3456e-01      8  FP      3.8979e-01   3.1416e-01
    2  00:00:01   6.3458e-01      9  BP      3.8976e-01   3.1416e-01
    2  00:00:01   6.3462e-01     10  FP      3.8973e-01   3.1416e-01
   40  00:00:01   8.5266e-01     11  EP      5.0000e-01   3.1416e-01
