
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3748e-02      1  EP      2.1528e-02   3.1416e-02
    1  00:00:00   4.3748e-02      2  SN      2.1528e-02   3.1416e-02
    1  00:00:00   4.3458e-02      3  FP      2.1223e-02   3.1416e-02
   26  00:00:00   2.0072e-01      4  UZ      1.0000e-01   3.1416e-02
   28  00:00:00   2.1836e-01      5  SN      1.0880e-01   3.1416e-02
   28  00:00:00   2.1836e-01      6  BP      1.0880e-01   3.1416e-02
   86  00:00:00   8.0020e-01      7  EP      4.0000e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3748e-02      8  EP      2.1528e-02   3.1416e-02
    1  00:00:00   4.3748e-02      9  BP      2.1528e-02   3.1416e-02
    1  00:00:00   4.4058e-02     10  FP      2.1833e-02   3.1416e-02
    2  00:00:00   4.3854e-02     11  SN      2.1608e-02   3.1416e-02
    2  00:00:00   4.3809e-02     12  FP      2.1553e-02   3.1416e-02
   26  00:00:00   2.0072e-01     13  UZ      1.0000e-01   3.1416e-02
   28  00:00:01   2.1821e-01     14  SN      1.0873e-01   3.1416e-02
   28  00:00:01   2.1821e-01     15  BP      1.0873e-01   3.1416e-02
   86  00:00:01   8.0020e-01     16  EP      4.0000e-01   3.1416e-02
