
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5478e-02      1  EP      2.3251e-02   3.1416e-02
    1  00:00:00   4.5478e-02      2  SN      2.3251e-02   3.1416e-02
    1  00:00:00   4.5477e-02      3  FP      2.3251e-02   3.1416e-02
 1581  00:00:06   1.8266e-01      4  UZ      1.0000e-01   3.1416e-02
 2495  00:00:10   2.7314e-01      5  EP      1.5000e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:10   4.5478e-02      6  EP      2.3251e-02   3.1416e-02
    1  00:00:10   4.5478e-02      7  BP      2.3251e-02   3.1416e-02
    1  00:00:10   4.5478e-02      8  FP      2.3252e-02   3.1416e-02
    2  00:00:10   4.5478e-02      9  SN      2.3252e-02   3.1416e-02
    2  00:00:11   4.5478e-02     10  FP      2.3252e-02   3.1416e-02
 1581  00:00:17   1.8266e-01     11  UZ      1.0000e-01   3.1416e-02
 2495  00:00:22   2.7314e-01     12  EP      1.5000e-01   3.1416e-02
