
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.4540e-01      1  EP      3.1416e-01   3.1416e-02
    1  00:00:00   4.4540e-01      2  UZ      3.1416e-01   3.1416e-02
   38  00:00:00   7.4785e-02      3  SN      4.7989e-02   3.1416e-02
   38  00:00:00   7.4785e-02      4  BP      4.7989e-02   3.1416e-02
   39  00:00:00   6.5397e-02      5  SN      4.0558e-02   3.1416e-02
   39  00:00:00   6.5397e-02      6  BP      4.0558e-02   3.1416e-02
   40  00:00:00   6.0157e-02      7  SN      3.6276e-02   3.1416e-02
   40  00:00:00   6.0157e-02      8  BP      3.6276e-02   3.1416e-02
   41  00:00:01   5.0222e-02      9  SN      2.7706e-02   3.1416e-02
   41  00:00:01   5.0222e-02     10  BP      2.7706e-02   3.1416e-02
   42  00:00:01   4.5851e-02     11  HB      2.3615e-02   3.1416e-02
   45  00:00:01   3.1416e-02     12  EP      8.6736e-19   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   4.4540e-01     13  EP      3.1416e-01   3.1416e-02
   45  00:00:01   8.8913e-01     14  EP      6.2832e-01   3.1416e-02
