
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.6162e-01      1  EP      2.3916e-01   3.1416e-01
    1  00:00:00   4.6162e-01      2  SN      2.3916e-01   3.1416e-01
    1  00:00:00   4.6148e-01      3  FP      2.3902e-01   3.1416e-01
   11  00:00:00   4.7424e-01      4  SN      2.4903e-01   3.1416e-01
   11  00:00:00   4.7424e-01      5  BP      2.4903e-01   3.1416e-01
   11  00:00:00   4.7549e-01      6  UZ      2.5000e-01   3.1416e-01
   55  00:00:02   8.2860e-01      7  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   4.6162e-01      8  EP      2.3916e-01   3.1416e-01
    1  00:00:02   4.6162e-01      9  BP      2.3916e-01   3.1416e-01
    1  00:00:02   4.6192e-01     10  SN      2.3944e-01   3.1416e-01
    6  00:00:02   4.7424e-01     11  SN      2.4903e-01   3.1416e-01
    6  00:00:02   4.7424e-01     12  BP      2.4903e-01   3.1416e-01
    7  00:00:02   4.7549e-01     13  UZ      2.5000e-01   3.1416e-01
   50  00:00:03   8.2860e-01     14  EP      5.0000e-01   3.1416e-01
