
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7191e-02      1  EP      2.4900e-02   3.1416e-02
    1  00:00:00   4.7191e-02      2  HB      2.4900e-02   3.1416e-02
    1  00:00:00   4.7191e-02      3  BP      2.4900e-02   3.1416e-02
    1  00:00:00   4.7163e-02      4  FP      2.4867e-02   3.1416e-02
   13  00:00:00   5.0237e-02      5  SN      2.6288e-02   3.1416e-02
   13  00:00:00   5.0237e-02      6  BP      2.6288e-02   3.1416e-02
   26  00:00:00   5.7957e-02      7  SN      2.9980e-02   3.1416e-02
   26  00:00:00   5.7957e-02      8  BP      2.9980e-02   3.1416e-02
  292  00:00:02   3.1320e-01      9  UZ      1.5708e-01   3.1416e-02
  608  00:00:05   6.2781e-01     10  UZ      3.1416e-01   3.1416e-02
  922  00:00:08   9.4213e-01     11  UZ      4.7124e-01   3.1416e-02
 1237  00:00:10   1.2564e+00     12  UZ      6.2832e-01   3.1416e-02
 1380  00:00:12   1.3998e+00     13  EP      7.0000e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:12   4.7191e-02     14  EP      2.4900e-02   3.1416e-02
    1  00:00:12   4.7191e-02     15  BP      2.4900e-02   3.1416e-02
    1  00:00:12   4.7232e-02     16  FP      2.4929e-02   3.1416e-02
    2  00:00:12   4.7241e-02     17  BP      2.4923e-02   3.1416e-02
    2  00:00:12   4.7244e-02     18  FP      2.4922e-02   3.1416e-02
   13  00:00:13   5.0238e-02     19  SN      2.6289e-02   3.1416e-02
   13  00:00:13   5.0238e-02     20  BP      2.6289e-02   3.1416e-02
   26  00:00:13   5.7984e-02     21  SN      2.9994e-02   3.1416e-02
   26  00:00:13   5.7984e-02     22  BP      2.9994e-02   3.1416e-02
  292  00:00:16   3.1320e-01     23  UZ      1.5708e-01   3.1416e-02
  607  00:00:18   6.2781e-01     24  UZ      3.1416e-01   3.1416e-02
  922  00:00:22   9.4213e-01     25  UZ      4.7124e-01   3.1416e-02
 1236  00:00:24   1.2564e+00     26  UZ      6.2832e-01   3.1416e-02
 1380  00:00:26   1.3998e+00     27  EP      7.0000e-01   3.1416e-02
