
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-01      1  EP      0.0000e+00   3.1416e-01
   32  00:00:00   4.4638e-01      2  SN      2.2423e-01   3.1416e-01
   32  00:00:00   4.4638e-01      3  BP      2.2423e-01   3.1416e-01
   34  00:00:00   4.6162e-01      4  SN      2.3916e-01   3.1416e-01
   34  00:00:01   4.6162e-01      5  BP      2.3916e-01   3.1416e-01
   36  00:00:01   4.7297e-01      6  UZ      2.5000e-01   3.1416e-01
   36  00:00:01   4.7371e-01      7  HB      2.5071e-01   3.1416e-01
   36  00:00:01   4.7371e-01      8  UZ      2.5071e-01   3.1416e-01
   37  00:00:01   4.8535e-01      9  SN      2.6160e-01   3.1416e-01
   37  00:00:01   4.8535e-01     10  BP      2.6160e-01   3.1416e-01
   40  00:00:01   5.0222e-01     11  SN      2.7706e-01   3.1416e-01
   40  00:00:01   5.0222e-01     12  BP      2.7706e-01   3.1416e-01
   42  00:00:02   5.1877e-01     13  SN      2.9191e-01   3.1416e-01
   42  00:00:02   5.1877e-01     14  BP      2.9191e-01   3.1416e-01
   43  00:00:02   5.2986e-01     15  SN      3.0171e-01   3.1416e-01
   43  00:00:02   5.2986e-01     16  BP      3.0171e-01   3.1416e-01
   44  00:00:02   5.3772e-01     17  SN      3.0858e-01   3.1416e-01
   44  00:00:02   5.3772e-01     18  BP      3.0858e-01   3.1416e-01
   52  00:00:03   6.0157e-01     19  SN      3.6276e-01   3.1416e-01
   52  00:00:03   6.0157e-01     20  BP      3.6276e-01   3.1416e-01
   58  00:00:03   6.5397e-01     21  SN      4.0558e-01   3.1416e-01
   58  00:00:03   6.5397e-01     22  BP      4.0558e-01   3.1416e-01
   65  00:00:03   7.1516e-01     23  SN      4.5429e-01   3.1416e-01
   65  00:00:04   7.1516e-01     24  BP      4.5429e-01   3.1416e-01
   66  00:00:04   7.2248e-01     25  SN      4.6004e-01   3.1416e-01
   66  00:00:04   7.2248e-01     26  BP      4.6004e-01   3.1416e-01
   67  00:00:04   7.3273e-01     27  SN      4.6808e-01   3.1416e-01
   67  00:00:04   7.3273e-01     28  BP      4.6808e-01   3.1416e-01
   68  00:00:04   7.4785e-01     29  SN      4.7989e-01   3.1416e-01
   68  00:00:04   7.4785e-01     30  BP      4.7989e-01   3.1416e-01
   70  00:00:05   7.6302e-01     31  SN      4.9168e-01   3.1416e-01
   70  00:00:05   7.6302e-01     32  BP      4.9168e-01   3.1416e-01
   71  00:00:06   7.7334e-01     33  HB      4.9968e-01   3.1416e-01
   71  00:00:06   7.7334e-01     34  UZ      4.9968e-01   3.1416e-01
   71  00:00:06   7.7375e-01     35  EP      5.0000e-01   3.1416e-01
