
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.4638e-01      1  EP      2.2423e-01   3.1416e-01
    1  00:00:00   4.4638e-01      2  SN      2.2423e-01   3.1416e-01
    1  00:00:00   4.4601e-01      3  FP      2.2379e-01   3.1416e-01
   16  00:00:00   4.9574e-01      4  UZ      2.5000e-01   3.1416e-01
   76  00:00:02   9.9481e-01      5  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:02   4.4638e-01      6  EP      2.2423e-01   3.1416e-01
    1  00:00:02   4.4638e-01      7  BP      2.2423e-01   3.1416e-01
    1  00:00:02   4.4687e-01      8  FP      2.2461e-01   3.1416e-01
    2  00:00:02   4.4687e-01      9  SN      2.2461e-01   3.1416e-01
    2  00:00:02   4.4699e-01     10  FP      2.2453e-01   3.1416e-01
   16  00:00:02   4.9574e-01     11  UZ      2.5000e-01   3.1416e-01
   76  00:00:04   9.9481e-01     12  EP      5.0000e-01   3.1416e-01
