
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   40  00:00:01   5.0222e-02      2  SN      2.7706e-02   3.1416e-02
   40  00:00:01   5.0222e-02      3  BP      2.7706e-02   3.1416e-02
   45  00:00:01   5.4414e-02      4  HB      3.1416e-02   3.1416e-02
   45  00:00:01   5.4414e-02      5  UZ      3.1416e-02   3.1416e-02
   52  00:00:01   6.0157e-02      6  SN      3.6276e-02   3.1416e-02
   52  00:00:01   6.0157e-02      7  BP      3.6276e-02   3.1416e-02
   58  00:00:02   6.5397e-02      8  SN      4.0558e-02   3.1416e-02
   58  00:00:02   6.5397e-02      9  BP      4.0558e-02   3.1416e-02
   64  00:00:02   7.0914e-02     10  HB      4.4955e-02   3.1416e-02
   64  00:00:02   7.0914e-02     11  UZ      4.4955e-02   3.1416e-02
   68  00:00:03   7.4785e-02     12  SN      4.7989e-02   3.1416e-02
   68  00:00:03   7.4785e-02     13  BP      4.7989e-02   3.1416e-02
  667  00:00:12   6.6717e-01     14  UZ      4.7124e-01   3.1416e-02
  889  00:00:15   8.8913e-01     15  EP      6.2832e-01   3.1416e-02
