
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.0157e-02      1  EP      3.6276e-02   3.1416e-02
    1  00:00:00   6.0157e-02      2  SN      3.6276e-02   3.1416e-02
    1  00:00:00   6.0129e-02      3  FP      3.6248e-02   3.1416e-02
   28  00:00:00   7.1444e-02      4  HB      4.1342e-02   3.1416e-02
   51  00:00:01   8.9920e-02      5  SN      5.0033e-02   3.1416e-02
   51  00:00:01   8.9920e-02      6  BP      5.0033e-02   3.1416e-02
  880  00:00:14   9.1183e-01      7  UZ      4.7124e-01   3.1416e-02
 1185  00:00:20   1.2162e+00      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:20   6.0157e-02      9  EP      3.6276e-02   3.1416e-02
    1  00:00:20   6.0157e-02     10  BP      3.6276e-02   3.1416e-02
    1  00:00:21   6.0194e-02     11  FP      3.6300e-02   3.1416e-02
    2  00:00:21   6.0194e-02     12  SN      3.6300e-02   3.1416e-02
    2  00:00:22   6.0202e-02     13  FP      3.6294e-02   3.1416e-02
   28  00:00:23   7.1445e-02     14  HB      4.1342e-02   3.1416e-02
   51  00:00:24   8.9922e-02     15  SN      5.0034e-02   3.1416e-02
   51  00:00:24   8.9922e-02     16  BP      5.0033e-02   3.1416e-02
  880  00:00:39   9.1183e-01     17  UZ      4.7124e-01   3.1416e-02
 1184  00:00:44   1.2162e+00     18  EP      6.2832e-01   3.1416e-02
