
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   9.0482e-02      1  EP      6.0000e-02   3.1416e-02
    1  00:00:00   9.0482e-02      2  UZ      6.0000e-02   3.1416e-02
   15  00:00:00   7.7375e-02      3  UZ      5.0000e-02   3.1416e-02
   77  00:00:02   3.2717e-02      4  BP      6.4014e-03   3.1416e-02
   78  00:00:02   3.2638e-02      5  SN      6.1948e-03   3.1416e-02
   78  00:00:02   3.2614e-02      6  FP      6.1308e-03   3.1416e-02
  142  00:00:03   7.7375e-02      7  UZ      5.0000e-02   3.1416e-02
  157  00:00:03   9.0482e-02      8  UZ      6.0000e-02   3.1416e-02
  171  00:00:04   1.0386e-01      9  UZ      7.0000e-02   3.1416e-02
  185  00:00:04   1.1742e-01     10  UZ      8.0000e-02   3.1416e-02
  199  00:00:05   1.3110e-01     11  UZ      9.0000e-02   3.1416e-02
  213  00:00:05   1.4487e-01     12  UZ      1.0000e-01   3.1416e-02
  227  00:00:05   1.5870e-01     13  UZ      1.1000e-01   3.1416e-02
  241  00:00:06   1.7259e-01     14  UZ      1.2000e-01   3.1416e-02
  256  00:00:06   1.8651e-01     15  UZ      1.3000e-01   3.1416e-02
  270  00:00:07   2.0047e-01     16  UZ      1.4000e-01   3.1416e-02
  284  00:00:07   2.1445e-01     17  UZ      1.5000e-01   3.1416e-02
  298  00:00:07   2.2844e-01     18  UZ      1.6000e-01   3.1416e-02
  312  00:00:08   2.4246e-01     19  UZ      1.7000e-01   3.1416e-02
  326  00:00:08   2.5649e-01     20  UZ      1.8000e-01   3.1416e-02
  340  00:00:09   2.7053e-01     21  UZ      1.9000e-01   3.1416e-02
  355  00:00:09   2.8458e-01     22  UZ      2.0000e-01   3.1416e-02
  960  00:00:21   8.8913e-01     23  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:21   9.0482e-02     24  EP      6.0000e-02   3.1416e-02
   15  00:00:22   1.0386e-01     25  UZ      7.0000e-02   3.1416e-02
   29  00:00:23   1.1742e-01     26  UZ      8.0000e-02   3.1416e-02
   43  00:00:23   1.3110e-01     27  UZ      9.0000e-02   3.1416e-02
   57  00:00:24   1.4487e-01     28  UZ      1.0000e-01   3.1416e-02
   71  00:00:25   1.5870e-01     29  UZ      1.1000e-01   3.1416e-02
   85  00:00:25   1.7259e-01     30  UZ      1.2000e-01   3.1416e-02
   99  00:00:26   1.8651e-01     31  UZ      1.3000e-01   3.1416e-02
  114  00:00:27   2.0047e-01     32  UZ      1.4000e-01   3.1416e-02
  128  00:00:27   2.1445e-01     33  UZ      1.5000e-01   3.1416e-02
  142  00:00:28   2.2844e-01     34  UZ      1.6000e-01   3.1416e-02
  156  00:00:29   2.4246e-01     35  UZ      1.7000e-01   3.1416e-02
  170  00:00:29   2.5649e-01     36  UZ      1.8000e-01   3.1416e-02
  184  00:00:30   2.7053e-01     37  UZ      1.9000e-01   3.1416e-02
  198  00:00:31   2.8458e-01     38  UZ      2.0000e-01   3.1416e-02
  804  00:00:44   8.8913e-01     39  EP      6.2832e-01   3.1416e-02
