
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   32  00:00:00   4.4232e-02      2  SN      2.2017e-02   3.1416e-02
   32  00:00:00   4.4232e-02      3  BP      2.2017e-02   3.1416e-02
   33  00:00:00   4.5114e-02      4  HB      2.2894e-02   3.1416e-02
   33  00:00:00   4.5114e-02      5  UZ      2.2894e-02   3.1416e-02
   36  00:00:00   4.7371e-02      6  SN      2.5071e-02   3.1416e-02
   36  00:00:00   4.7371e-02      7  BP      2.5071e-02   3.1416e-02
   40  00:00:01   5.0222e-02      8  SN      2.7706e-02   3.1416e-02
   40  00:00:01   5.0222e-02      9  BP      2.7706e-02   3.1416e-02
   46  00:00:01   5.5106e-02     10  HB      3.2013e-02   3.1416e-02
   46  00:00:01   5.5106e-02     11  UZ      3.2013e-02   3.1416e-02
   52  00:00:01   6.0157e-02     12  SN      3.6276e-02   3.1416e-02
   52  00:00:01   6.0157e-02     13  BP      3.6276e-02   3.1416e-02
   58  00:00:01   6.5397e-02     14  SN      4.0558e-02   3.1416e-02
   58  00:00:01   6.5397e-02     15  BP      4.0558e-02   3.1416e-02
   63  00:00:02   7.0262e-02     16  HB      4.4440e-02   3.1416e-02
   63  00:00:02   7.0262e-02     17  UZ      4.4440e-02   3.1416e-02
   68  00:00:02   7.4785e-02     18  SN      4.7989e-02   3.1416e-02
   68  00:00:02   7.4785e-02     19  BP      4.7989e-02   3.1416e-02
   71  00:00:02   7.7334e-02     20  SN      4.9968e-02   3.1416e-02
   71  00:00:02   7.7334e-02     21  BP      4.9968e-02   3.1416e-02
   73  00:00:02   7.9302e-02     22  HB      5.1487e-02   3.1416e-02
   73  00:00:02   7.9302e-02     23  UZ      5.1487e-02   3.1416e-02
   74  00:00:03   8.0057e-02     24  SN      5.2068e-02   3.1416e-02
   74  00:00:03   8.0057e-02     25  BP      5.2068e-02   3.1416e-02
  667  00:00:09   6.6717e-01     26  UZ      4.7124e-01   3.1416e-02
  889  00:00:12   8.8913e-01     27  EP      6.2832e-01   3.1416e-02
